ISSN,ISSN2,title,peerreview
1983-5213,NA,Revista Ibero-americana de Ciência da Informação,Double blind
1028-9933,NA,Revista Información Científica,Double blind
2477-8850,NA,Siembra,Double blind
2448-539X,NA,Culturales,Double blind
2527-1075,NA,"eISSN 2527-1075 - The Journal of Engineering and Exact Sciences
REVES - Revista Relações Sociais (eISSN 2595-4490)
",Double blind
2518-3354,NA,European Science Editing,Single blind
2177-8566,NA,Revista Poiésis,Double blind
2007-1094,NA,Apertura,Double blind
2007-3607,NA,Paakat: Revista de Tecnología y Sociedad,Double blind
2346-3910,NA,GEON,Double blind
1390-6542,NA,Enfoque UTE,Double blind
2236-1987,NA,Journal of Nursing and Health,Double blind
2224-2708,NA,Journal of Sensor and Actuator Networks,Single blind
2338-1353,NA,Journal of ASEAN Studies,Double blind
2460-710X,NA,Lingua Cultura,Double blind
1734-1515,NA,Acta Ichthyologica et Piscatoria,Single blind
2523-1715,NA,Journal of College of Sharia and Islamic Studies,Double blind
2283-5733,NA,"Global & Regional Health Technology Assessment
",Double blind
1941-7039,NA,American Journal of Engineering and Applied Sciences,Not blinded
2460-7010,NA,CommIT (Communication and Information Technology) Journal,Double blind
2087-1228,NA,Binus Business Review,Double blind
2686-9012,NA,Economic Consultant,Double blind
1545-8490,1545-8504,Decision Analysis,Double blind
2391-6389,NA,Studia z Polityki Publicznej/Public Policy Studies,Double blind
2476-907X,NA,"ComTech: Computer, Mathematics and Engineering Applications",Double blind
2622-5905,NA,Health Information : Jurnal Penelitian,Double blind
2046-6390,NA,Biology Open,Single blind
1754-8403,1754-8411,Disease Models & Mechanisms,Single blind
2465-2628,NA,AboutOpen,Single blind
2283-5733,NA,"Global & Regional Health Technology Assessment
",Single blind
1177-3928,NA,Drug Target Insights,Single blind
1849-4544,NA,Journal of Circulating Biomarkers,Single blind
2705-0076,NA,Giornale di Clinica Nefrologica e Dialisi,Single blind
1701-2163,NA,Journal of Obstetrics and Gynaecology Canada,Double blind
1312-6431,NA,Neurosonology and Cerebral Hemodynamics,Single blind
2544-3275,NA,"Budownictwo i Architektura
",Double blind
2391-6761,NA,"Informatyka, Automatyka, Pomiary w Gospodarce i Ochronie Środowiska",Double blind
2544-0764,NA,"Journal of Computer Sciences Institute
",Double blind
2543-6422,NA,Protection of Cultural Heritage,Double blind
1941-7020,NA,American Journal of Engineering and Applied Sciences,Single blind
2178-2679,NA,Revista Práxis Educacional,Double blind
2231-5209,0974-9411,Journal of Applied and Natural Science,Double blind
2582-0400,NA,Litinfinite Journal,Double blind
2455-1503,NA,The Researchers,Double blind
2348-991X ,NA,International Journal of Medical Science and Clinical invention,Double blind
2632-3834,NA,Qeios,Open (not blinded) Post-Publication
2518-3354,NA,European Sciense Editing,Single blind
2683-1015,1310-7488,Bʺlgarska kardiologiâ,Single blind
2704-6192,2280-1855,Plant Sociology,Single blind
1311-8706 ,NA,Silva Balcanica,Single blind
2312-1033,NA,Research journal of innovative ideas and thoughts,Double blind
2503-040X,NA,REGISTER JOURNAL,Double blind
1017-995X,NA,Acta Orthopaedica et Traumatologica Turcica,Double blind
1578-665X,2014-928X,"Animal Biodiversity and Conservation
",Single blind
1698-0476,NA,Arxius de Miscel·lània Zoològica,Single blind
1130-4995,2385-4499,Treballs del Museu de Geologia de Barcelona,Single blind
2658-5561,NA,Bulletin Social-Economic and Humanitarian Research,Double blind
2732-5164,NA,Sushruta Journal of Health Policy & Opinions,Not blinded
2732 - 5148,NA,The Physician,Not blinded
2525-1295,NA,Estudios económicos,Triple blind
1317-0570,2343-5763,Telos: Revista de Estudios Interdisciplinarios en Ciencias Sociales,Double blind
2658-4255,NA,Russian Arctic,Single blind
2367-5705,2367-8704,English Studies at NBU,Double blind
2222-5234,2220-6655,International Journal of Biosciences (IJB),Double blind
1975-5937,NA,Journal of Educational Evaluation for Health Professions,Single blind
2545-6377,NA,Revista del Museo de La Plata,Single blind
2217-8309,NA,TEM Journal,Double blind
2622-5905,NA,Health Information : Jurnal Penelitian,Double blind
2456-2069,NA,Journal of Social Work Education and Practice,Double blind
1225-6463,2233-7326,ETRI Journal,Double blind
2071-1050,NA,"Sustainability
",Single blind
2415-0304,NA,Empirical Economic Review,Double blind
0973-2063,NA,BIOINFORMATION,Not blinded
2448-6248,NA,Voces de la Educación,Double blind
2525-3468,NA,Informação em Pauta,Double blind
1025-0255,NA,Archivo Médico de Camagüey,Double blind
2211-8160,NA,Global Heart,Single blind
0011-748X,0976-464X,Defence Science Journal,Double blind
0120-4645,NA,Cuadernos de administracion,Double blind
2307-8553,NA,Asian Journal of Agriculture and Biology,Double blind
2645-9132,NA,ULUM,Double blind
3075-079,1470-174X,Studies in Higher Education,Double blind
1815-60,1573-174X,Higher Education,Double blind
4873-33,NA,Research Policy,Double blind
2212-4438,NA,Journal of the World Federation of Orthodontists,Double blind
2617-541X,NA,Lex Portus,Double blind
2617-541X,NA,Lex Portus,Not blinded
2688-9374,NA,Liberal Studies,Not blinded
1998-4634,NA,Eminak,Double blind
2322-2913,2345-640X,The International Journal of Medical Investigation,Double blind
2300-5076,NA,Physical Activity Review,Double blind
0019-462X,NA,Indian Drugs,Double blind
2236-269X,NA,Independent Journal of Management & Production,Double blind
1788-7119,NA,European Journal of Mental Health,Double blind
2415-6698,NA,"Advances in Science, Technology and Engineering Systems Journal",Double blind
2226-0994,2414-5904,"The Journal of V. N. Karazin Kharkiv National University, Series ""Philosophy. Philosophical Peripeteias""",Double blind
1666-1680,NA,Técnica Administrativa,Double blind
2651-3978,2636-8110,Hitit University Journal of Divinity Faculty,Double blind
2451-3202,2543-702X,Studia Historiae Scientiarum,"Double Blind and Single Blind and Not blined in rare cases - see ""Peer review policy"" URL"
2603-431X ,NA,Viticulture Data Journal (VDJ),Single blind
2048-043,1314-2143,Folia Medica,Single blind
2367-7163,NA,Research Ideas and Outcomes (RIO),Single blind
1561-2937,NA,Revista Cubana de Cardiología y Cirugía Cardiovascular,Double blind
2477-9628,NA,Kasmera,Double blind
0255-965X,1842-4309,Notulae Botanicae Horti Agrobotanici Cluj-Napoca,Double blind
2067-3205,2067-3264,Notulae Scientia Biologicae,Double blind
2455-3166,NA,Journal of Research in Traditional Medicine,Double blind
2395-8200,NA,Economía Creativa,Double blind
2475-8752,NA,Fórum Empresarial,Double blind
2043-6262,NA,Advances in Natural Sciences: Nanoscience and Nanotechnology,Double blind
1816-2711,2220-5810,Pakistan Journal of Statistics and Operation Research,Double blind
2617-5770,NA,SEISENS Journal of Management,Double blind
2217-2661,NA,International Journal of Industrial Engineering and Management,Double blind
1932-6203,NA,PLOS ONE,Single blind
1544-9173,1545-7885,PLOS Biology,Single blind
1549-1277,1549-1676,PLOS Medicine,Single blind
1553-7390,1553-7404,PLOS Genetics,Single blind
1553-7366,1553-7374,PLOS Pathogens,Single blind
1935-2727,1935-2735,PLOS Neglected Tropical Diseases,Single blind
1553-734X,1553-7358,PLOS Computational Biology,Single blind
2076-3387,NA,Administrative Sciences,Double blind
2076-0752,NA,Arts,Double blind
2075-5309,NA,Buildings,Double blind
2624-8549,NA,Chemistry,Single blind
2079-9721,NA,Diseases,Single blind
1507-3866,1507-3866,Econometrics,Single blind
2227-7099,NA,Economies,Double blind
2162-9463,NA,Education,Double blind
2073-4336,NA,Games,Double blind
2313-5778,NA,Genealogy,Double blind
2076-0787,2076-0787,Humanities,Double blind
2079-3200,NA,Journal of Intelligence,Double blind
2226-471X,NA,Languages,Double blind
2075-471X,NA,Laws,Double blind
2571-6182,NA,Plasma,Single blind
2077-1444,NA,Religions,Double blind
2326-9863,NA,Social Sciences,Double blind
2075-4698,NA,Societies,Double blind
2571-9637,NA,Surfaces,Double blind
2072-6651,2072-6651,Toxins,Double blind
2465-2628,2465-2628,AboutOpen,Single blind
1612-6033,1612-6041,Zeithistorische Forschungen/Studies in Contemporary History,"double blind for longer articles in open issues, not blinded in special issues and for shorter contributions"
 2367-9212,NA,Bulgarian Journal of Soil Science ,Double blind
2398-8835,NA,Health Science Reports,Single blind
1758-2946,1758-2946,Journal of Cheminformatics,"Single blind, but reviewers have the freedom to sign their reviews."
2639-5347,NA,WikiJournal of Humanities,Not blinded
2002-4436,NA,WikiJournal of Medicine,Not blinded
1860-5397,NA,Beilstein Journal of Organic Chemistry,Single blind
2190-4286,NA,"Beilstein Journal of Nanotechnology
",Single blind
1253-611,2651-0561,Ramathibodi Medical Journal,Double blind
2313-4895,NA,Kyiv-Mohyla Humanities Journal,Double blind
1754-6605,1754-6605,ecancermedicalscience,Single blind
4628-0,1538-3873,Publications of the Astronomical Society of the Pacific,Single blind
1253-611,2651-0561,Ramathibodi Medical Journal,Unsure/not specified
2521-327X,NA,Quantum,Single blind
2250-96,NA,Journal of the Mechanics and Physics of Solids,Single blind
2250-96,NA,Journal of the Mechanics and Physics of Solids,Single blind
2179-7994,NA,Revista Brasileira de Medicina de Família e Comunidade,Double blind
1754-8403,NA,Disease Models & Mechanisms,Single blind
2046-6390,NA,Biology Open,Single blind
2046-1402,NA,F1000 Research,open (not blinded) post publication 
2398-502X,NA,Wellcome Open Research,open (not blinded) post publication 
2572-4754,NA,Gates Open Research,open (not blinded) post publication 
2515-9321,NA,AAS Open Research,open (not blinded) post publication 
2515-4826,NA,HRB Open Research,open (not blinded) post publication 
2517-6900,NA,AMRC Open Research,open (not blinded) post publication 
2515-5059,NA,MNI Open Research,open (not blinded) post publication 
2054-5703,2054-5703,Royal Society Open Science,Single blind
2046-2441,2046-2441,Open Biology,Single blind
1398-9219,1600-0854,Traffic,Single blind
2470-6345,NA,WikiJournal of Science,Not blinded
1398-9219,1600-0854,Traffic,Single blind
6497-1,1528-0020,Blood,Unsure/not specified
0953-816X,1460-9568,European Journal of Neuroscience,Not blinded
9059-180,1600-0617,European Respiratory Review,Single blind
2312-0541,NA,ERJ Open Research,Single blind
1810-6838,2073-4735,Breathe,Single blind
1932-6203,NA,PLOS ONE,Single blind
1544-9173,1545-7885,PLOS Biology,Single blind
1549-1277,1549-1676,PLOS Medicine,Single blind
1553-7390,1553-7404,PLOS Genetics,Single blind
1553-7366,1553-7374,PLOS Pathogens,Single blind
1935-2735,NA,PLOS Neglected Tropical Diseases,Single blind
2347-4688,2321-9971,Current Agriculture Research Journal,Double blind
9734-929,2320-8031,Current World Environment,Double blind
1064-6671,NA,SPE Drilling & Completion,Single blind
1930-1855,NA,SPE Production & Operations,Single blind
1086-055X,NA,SPE Journal,Single blind
8923-310,8923-310,Journal of Scientific Exploration,Single blind
1663-4365,NA,Frontiers in Aging Neuroscience,Single blind
2297-4687,NA,Frontiers in Applied Mathematics and Statistics,Single blind
1662-5153,1662-5153,Frontiers in Behavioral Neuroscience,Single blind
2624-909X,NA,Frontiers in Big Data,Single blind
2296-4185,NA,Frontiers in Bioengineering and Biotechnology,Single blind
2624-7852,NA,Frontiers in Blockchain,Single blind
2297-3362,NA,Frontiers in Built Environment,Single blind
2297-055X,NA,Frontiers in Cardiovascular Medicine,Single blind
2296-634X,NA,Frontiers in Cell and Developmental Biology,Single blind
2235-2988,NA,Frontiers in Cellular and Infection Microbiology,Single blind
1662-5102,1662-5102,Frontiers in Cellular Neuroscience,Single blind
2296-2646,NA,Frontiers in Chemistry,Single blind
2297-900X,NA,Frontiers in Communication,Single blind
1662-5188,1662-5188,Frontiers in Computational Neuroscience,Single blind
2297-2668,NA,Frontiers in Digital Humanities,Single blind
2296-6463,NA,Frontiers in Earth Science,Single blind
2296-701X,NA,Frontiers in Ecology and Evolution,Single blind
2504-284X,NA,Frontiers in Education,Single blind
1664-2392,NA,Frontiers in Endocrinology,Single blind
2296-665X,NA,Frontiers in Environmental Science,Single blind
1663-070X,NA,Frontiers in Evolutionary Neuroscience,Single blind
2624-893X,NA,Frontiers in Forests and Global Change,Single blind
1664-8021,NA,Frontiers in Genetics,Single blind
1662-5161,1662-5161,Frontiers in Human Neuroscience,Single blind
2297-198X,NA,Frontiers in ICT,Single blind
1664-3224,NA,Frontiers in Immunology,Single blind
1662-5145,1662-5145,Frontiers in Integrative Neuroscience,Single blind
2296-7745,NA,Frontiers in Marine Science,Single blind
2296-8016,NA,Frontiers in Materials,Single blind
2297-3079,NA,Frontiers in Mechanical Engineering,Single blind
2296-858X,NA,Frontiers in Medicine,Single blind
1664-302X,NA,Frontiers in Microbiology,Single blind
2296-889X,NA,Frontiers in Molecular Biosciences,Single blind
1662-5099,1662-5099,Frontiers in Molecular Neuroscience,Single blind
1662-5110,1662-5110,Frontiers in Neural Circuits,Single blind
1662-5129,1662-5129,Frontiers in Neuroanatomy,Single blind
1662-6427,NA,Frontiers in Neuroenergetics,Single blind
1662-6443,1662-6443,Frontiers in Neuroengineering,Single blind
1662-5196,1662-5196,Frontiers in Neuroinformatics,Single blind
1664-2295,NA,Frontiers in Neurology,Single blind
1662-5218,NA,Frontiers in Neurorobotics,Single blind
1662-4548,1662-453X,Frontiers in Neuroscience,Single blind
2296-861X,NA,Frontiers in Nutrition,Single blind
2234-943X,NA,Frontiers in Oncology,Single blind
2296-2360,NA,Frontiers in Pediatrics,Single blind
1663-9812,NA,Frontiers in Pharmacology,Single blind
2296-424X,NA,Frontiers in Physics,Single blind
1664-042X,NA,Frontiers in Physiology,Single blind
1664-462X,NA,Frontiers in Plant Science,Single blind
1664-0640,NA,Frontiers in Psychiatry,Single blind
1664-1078,NA,Frontiers in Psychology,Single blind
2296-2565,NA,Frontiers in Public Health,Single blind
2504-0537,NA,Frontiers in Research Metrics and Analytics,Single blind
2296-9144,NA,Frontiers in Robotics and AI,Single blind
2297-7775,NA,Frontiers in Sociology,Single blind
2296-875X,NA,Frontiers in Surgery,Single blind
2571-581X,NA,Frontiers in Sustainable Food Systems,Single blind
1663-3563,NA,Frontiers in Synaptic Neuroscience,Single blind
2297-1769,NA,Frontiers in Veterinary Science,Single blind
1754-8403,1754-8411,Disease Models & Mechanisms,Single blind
2046-6390,NA,Biology Open,Single blind
1754-8403,1754-8411,Disease Models & Mechanisms,Single blind
2195-33,1477-9137,Journal of Cell Science,Single blind
2209-49,1477-9145,Journal of Experimental Biology,Single blind
9501-991,1477-9129,Development,Single blind
2413-4155,NA,Sci,Not blinded
2076-0825,NA,Actuators,Single blind
2226-4310,NA,Aerospace,Single blind
2077-0472,2077-0472,Agriculture,Single blind
2624-7402,NA,AgriEngineering,Single blind
2073-4395,NA,Agronomy,Single blind
1999-4893,NA,Algorithms,Single blind
2076-2615,NA,Animals,Single blind
2079-6382,NA,Antibiotics,Single blind
2073-4468,NA,Antibodies,Single blind
2076-3921,NA,Antioxidants,Single blind
2076-3417,NA,Applied Sciences,Single blind
2571-5577,NA,Applied System Innovation,Single blind
1598-3560,NA,Atmosphere,Single blind
2218-2004,NA,Atoms,Single blind
2075-1680,NA,Axioms,Single blind
2313-0105,NA,Batteries,Single blind
2076-328X,NA,Behavioral Sciences,Single blind
2306-5710,NA,Beverages,Single blind
2504-2289,NA,Big Data and Cognitive Computing,Single blind
2306-5354,NA,Bioengineering,Single blind
2079-7737,NA,Biology,Single blind
2227-9059,NA,Biomedicines,Single blind
2313-7673,NA,Biomimetics,Single blind
2218-273X,NA,Biomolecules,Single blind
2079-6374,2079-6374,Biosensors,Double blind
2076-3425,NA,Brain Sciences,Double blind
2072-6694,NA,Cancers,Double blind
2073-4344,NA,Catalysts,Double blind
2073-4409,NA,Cells,Double blind
2571-6131,NA,Ceramics,Double blind
2078-1547,NA,Challenges,Double blind
2305-7084,NA,ChemEngineering,Double blind
2227-9040,NA,Chemosensors,Double blind
2227-9067,NA,Children,Double blind
2225-1154,NA,Climate,Double blind
2624-5175,NA,Clocks & Sleep,Double blind
2079-6412,NA,Coatings,Double blind
2504-5377,NA,Colloids and Interfaces,Double blind
2079-3197,NA,Computation,Double blind
2073-431X,NA,Computers,Double blind
2410-3896,NA,Condensed Matter,Double blind
2079-9284,NA,Cosmetics,Double blind
2410-387X,NA,Cryptography,Double blind
2073-4352,NA,Crystals,Double blind
2306-5729,NA,Data,Double blind
2304-6767,NA,Dentistry Journal,Double blind
2411-9660,NA,Designs,Double blind
2075-4418,NA,Diagnostics,Double blind
2079-9721,NA,Diseases,Double blind
1424-2818,NA,Diversity,Double blind
2504-446X,NA,Drones,Double blind
2079-9292,NA,Electronics,Double blind
1996-1073,NA,Energies,Double blind
1099-4300,NA,Entropy,Double blind
2076-3298,NA,Environments,Double blind
2075-4655,NA,Epigenomes,Double blind
2311-5637,NA,Fermentation,Double blind
2079-6439,NA,Fibers,Double blind
2571-6255,NA,Fire,Double blind
2410-3888,NA,Fishes,Double blind
2311-5521,NA,Fluids,Double blind
2304-8158,NA,Foods,Double blind
2571-9394,NA,Forecasting,Double blind
1999-4907,NA,Forests,Double blind
2504-3110,NA,Fractal and Fractional,Double blind
1999-5903,NA,Future Internet,Double blind
2078-2489,NA,Information,Double blind
2220-9964,NA,ISPRS International Journal of Geo-Information,Double blind
2077-1312,NA,Journal of Marine Science and Engineering,Double blind
2624-845X,NA,Journal of Nanotheranostics,Double blind
2075-4426,NA,Journal of Personalized Medicine,Double blind
1911-8074,NA,Journal of Risk and Financial Management,Double blind
2224-2708,NA,Journal of Sensor and Actuator Networks,Double blind
2073-445X,NA,Land,Double blind
2075-1729,NA,Life,Double blind
2305-6290,NA,Logistics,Double blind
2075-4442,NA,Lubricants,Double blind
2504-4990,NA,Machine Learning and Knowledge Extraction,Double blind
2075-1702,NA,Machines,Double blind
1660-3397,NA,Marine Drugs,Double blind
1996-1944,NA,Materials,Double blind
1300-686X,NA,Mathematical and Computational Applications,Double blind
2227-7390,NA,Mathematics,Double blind
1422-8599,NA,Molbank,Double blind
2304-6732,NA,Photonics,Double blind
2223-7747,NA,Plants,Double blind
2571-6182,NA,Plasma,Double blind
2032-6653,NA,World Electric Vehicle Journal,Double blind
1754-8403,1754-8411,Disease Models & Mechanisms,Single blind
2046-6390,NA,Biology Open,Single blind
2209-49,1477-9145,Journal of Experimental Biology,Single blind
2046-6390,NA,Biology Open,Single blind
1754-8403,1754-8411,Disease Models & Mechanisms,Single blind
2195-33,1477-9137,Journal of Cell Science,Single blind
9501-991,1477-9129,Development,Single blind
2050-084X,NA,eLife,Consultative peer review (reviewers discuss their independent reports with one another and can optionally reveal their names to the authors)
2054-5703,2054-5703,Royal Society Open Science,Single blind
2046-2441,2046-2441,Open Biology,Single blind
2054-5703,2054-5703,Royal Society Open Science,Single blind
9916-3,1399-0004,Clinical Genetics,Single blind
2167-8359,NA,PeerJ,Optional single blind (reviewers can choose to name themselves)
2376-5992,NA,PeerJ Computer Science,Optional single blind (reviewers can choose to name themselves)
2398-502X,NA,Wellcome Open Research,open (not blinded) post publication 
2572-4754,NA,Gates Open Research,open (not blinded) post publication 
2515-9321,NA,AAS Open Research,open (not blinded) post publication 
2515-4826,NA,HRB Open Research,open (not blinded) post publication 
2517-6900,NA,AMRC Open Research,open (not blinded) post publication 
2515-5059,NA,MNI Open Research,open (not blinded) post publication 
2637-5923,NA,Current Research in Digital History,Not blinded
3067-8,1080-6490,American Quarterly,Double blind
8867-356,1548-1360,Cultural Anthropology,Double blind
4409-213,2328-1103,Historical Archaeology,Single blind
2325-6893,NA,Journal of Southern History,Double blind
1084-5453,1930-8892,Environmental History,Double blind
2162-3309,NA,Journal of Librarianship and Scholarly Communication,Double blind
2723-433,1533-8576,The Public Historian,Double blind
1944-8007,9482-76,Geophysical Research Letters,Unsure/not specified
2041-8205,2041-8213,The Astrophysical Journal,Single blind
3695-1,3695-1,Applied Physics Letters,Unsure/not specified
3190-07,1079-7114,Physical Review Letters,Unsure/not specified
2041-4889,NA,Cell Death and Disease,Single blind but double blind optional
1350-9047,1350-9047,Cell Death and Differentiation,Single blind
9286-74,NA,Cell,Single blind
1748-3387,1748-3395,Nature Nanotechnology,Single blind but double-blind offered
1755-4330,1755-4349,Nature Chemistry,Single blind but double blind optional
1476-1122,1476-4660,Nature Materials,Single blind but double blind optional
9927-689,1432-0576,Annales Geophysicae,Referees can choose to stay anonymous
1867-8548,NA,Atmospheric Measurement Techniques,Referees can choose to stay anonymous
1726-4189,NA,Biogeosciences,Referees can choose to stay anonymous
1814-9332,NA,Climate of the Past,Referees can choose to stay anonymous
1996-9465,NA,Drinking Water Engineering and Science,Referees can choose to stay anonymous
2196-632X,NA,Earth Surface Dynamics,Referees can choose to stay anonymous
2190-4987,NA,Earth System Dynamics,Referees can choose to stay anonymous
1866-3516,NA,Earth System Science Data,Referees can choose to stay anonymous
2569-7110,NA,Geoscience Communication,Referees can choose to stay anonymous
1991-9603,NA,Geoscientific Model Development,Referees can choose to stay anonymous
1607-7938,NA,Hydrology and Earth System Sciences,Referees can choose to stay anonymous
1607-7946,NA,Nonlinear Processes in Geophysics,Referees can choose to stay anonymous
1812-0792,NA,Ocean Science,Referees can choose to stay anonymous
2199-398X,NA,SOIL,Referees can choose to stay anonymous
1869-9510,1869-9529,Solid Earth,Referees can choose to stay anonymous
1994-0424,NA,The Cryosphere,Referees can choose to stay anonymous
2366-7451,NA,Wind Energy Science,Referees can choose to stay anonymous
2163-3967,2163-3975,Advances in Geosciences,Single blind
1684-9973,NA,Advances in Radio Science,Single blind
1992-0636,NA,Advances in Science and Research,Single blind
2363-9822,NA,Archives Animal Breeding,Single blind
2199-3963,NA,ASTRA Proceedings,Single blind
2625-8137,NA,DEUQUA Special Publications,Single blind
2199-9090,NA,E&G Quaternary Science Journal,Single blind
1435-1943,1860-1014,Fossil Record,Single blind
2194-8798,NA,Geographica Helvetica,Double blind
2190-5029,NA,History of Geo- and Space Sciences,Single blind
0262-821X,2041-4978,Journal of Micropalaeontology,Single blind
2194-878X,NA,Journal of Sensors and Sensor Systems,Single blind
2191-916X,NA,Mechanical Sciences,Single blind
2363-4715,NA,Primate Biology,Single blind
2199-899X,NA,Proceedings of the International Association of Hydrological Sciences,Single blind
1816-3459,NA,Scientific Drilling,Single blind
1868-4564,NA,Stephan Mueller Special Publication Series,Single blind
1399-1183,NA,Web Ecology,Single blind
1040-2446,NA,Academic Medicine,Single blind
1944-8244,1944-8252,ACS Applied Materials & Interfaces,Single Blind
1484-2,1520-4898,Accounts of Chemical Research,Single Blind
2155-5435,2155-5435,ACS Catalysis,Single blind
1427-3,1948-0989,Academy of Management Journal,Double blind
1936-0851,1936-086X,ACS Nano,Single blind
1614-6832,1614-6840,Advanced Energy Materials,Unsure
1616-301X,1616-3028,Advanced Functional Materials,Unsure
9359-648,1521-4095,Advanced Materials,Unsure
2828-2,1944-7981,American Economic Review,Double blind
9258-53,1540-5907,American Journal of Political Science,Double blind
9000-36,1541-0048,American Journal of Public Health,Double blind
3055-4,1537-5943,American Political Science Review,Double blind
3122-4,1939-8271,American Sociological Review,Double blind
1433-7851,1521-3773,Angewandte Chemie International Edition,Single blind
3481-9,NA,Annals of Internal Medicine,Single blind
9237-534,1569-8041,Annals of Oncology,Unsure
3496-7,1468-2060,Annals of the Rheumatic Diseases,Single blind
1607-383,NA,Annals of Tourism Research,Double blind
3062-619,NA,Applied Energy,Single blind
1426-001,1477-450X,Applied Linguistics,Double blind
3695-1,3695-1,Applied Physics Letters,Unsure
1429-612,NA,Biomaterials,Single blind
6497-1,1528-0020,Blood,Single blind
9598-138,1756-1833,BMJ,Not blinded
1535-6108,NA,Cancer Cell,Single blind
8547-2,1538-7445,Cancer Research,Unsure
9286-74,NA,Cell,Single blind
1550-4131,NA,Cell Metabolism,Single blind
1934-5909,NA,Cell Stem Cell,Single blind
9266-5,1520-6890,Chemical Reviews,Unsure
3060-012,1460-4744,Chemical Society Reviews,Unsure
8974-756,1520-5002,Chemistry of Materials,Unsure
9732-2,1524-4539,Circulation,Unsure
9733-0,1524-4571,Circulation Research,Single blind
1078-0432,1557-3265,Clinical Cancer Research,Unsure
3601-315,NA,Computers & Education,Double blind
1495-992,1495-992,Diabetes Care,Single blind
2167-0811,2167-082X,Digital Journalism,Double blind
1296-82,1468-0262,Econometrica,Unsure
0013-936X,1520-5851,Environmental Science & Technology,Unsure
0195-668X,1522-9645,European Heart Journal,Unsure
3022-838,1421-993X,European Urology,Single blind
1650-85,NA,Gastroenterology,Single blind
8912-432,1552-3977,Gender & Society,Double blind
1944-8007,9482-76,Geophysical Research Letters,Unsure
9593-780,NA,Global Environmental Change,Double blind
0740-624X,NA,Government Information Quarterly,Other
1757-49,1468-3288,Gut,Single Blind
2782-715,1544-5208,Health Affairs,Double blind
2709-139,1527-3350,Hepatology,Unsure
1636-804,1558-1896,IEEE Communications Magazine,Unsure
1553-877X,1553-877X,IEEE Communications Surveys & Tutorials,Unsure
1892-86,1558-2523,IEEE Transactions on Automatic Control,Unsure
2780-046,1557-9948,IEEE Transactions on Industrial Electronics,Unsure
1628-828,2160-9292,IEEE Transactions on Pattern Analysis and Machine Intelligence,Unsure
8858-993,1941-0107,IEEE Transactions on Power Electronics,Single blind
1053-587X,1941-0476,IEEE Transactions on Signal Processing,Single blind
1074-7613,NA,Immunity,Single blind
9255-273,NA,International Journal of Production Economics,Double blind
2995-5,NA,Journal of the American Medical Association,Single blind
9167-49,NA,Journal of Allergy and Clinical Immunology,Unsure
3784-266,NA,Journal of Banking & Finance,Double blind
1674-544,1573-0697,Journal of Business Ethics,Double blind
1482-963,NA,Journal of Business Research,Double blind
9596-526,NA,Journal of Cleaner Production,Single blind
0732-183X,1527-7755,Journal of Clinical Oncology,Single blind
0976-691X,2456-6586,Journal of Communication,Unsure
