"","ISSN","ISSN2","title","peerreview"
"X.35","2561-6722",NA,"JMIR Pediatrics and Parenting","Not blinded"
"X.36","2561-7605",NA,"JMIR Aging","Not blinded"
"X.37","2561-9128",NA,"JMIR Perioperative Medicine","Not blinded"
"X.38","2562-7600",NA,"JMIR Nursing","Not blinded"
"X.40","2563-3570",NA,"JMIR Bioinformatics and Biotechnology","Not blinded"
"X.41","2563-6316",NA,"JMIRx|Med ","Not blinded"
"X.44","2564-1891",NA,"JMIR Infodemiology","Not blinded"
"X.45","2683-2143",NA,"QVADRATA. Estudios sobre Educación, Artes y Humanidades","Double blind"
"X.46","2621-4814",NA,"Borneo Journal of Pharmacy","Double blind"
"X.47","1983-5213",NA,"Revista Ibero-americana de Ciência da Informação","Double blind"
"X.48","1028-9933",NA,"Revista Información Científica","Double blind"
"X.49","2477-8850",NA,"Siembra","Double blind"
"X.50","2448-539X",NA,"Culturales","Double blind"
"X.51","2527-1075",NA,"eISSN 2527-1075 - The Journal of Engineering and Exact Sciences
REVES - Revista Relações Sociais (eISSN 2595-4490)
","Double blind"
"X.52","2518-3354",NA,"European Science Editing","Single blind"
"X.53","2177-8566",NA,"Revista Poiésis","Double blind"
"X.54","2007-1094",NA,"Apertura","Double blind"
"X.55","2007-3607",NA,"Paakat: Revista de Tecnología y Sociedad","Double blind"
"X.56","2346-3910",NA,"GEON","Double blind"
"X.57","1390-6542",NA,"Enfoque UTE","Double blind"
"X.58","2236-1987",NA,"Journal of Nursing and Health","Double blind"
"X.59","2224-2708",NA,"Journal of Sensor and Actuator Networks","Single blind"
"X.60","2338-1353",NA,"Journal of ASEAN Studies","Double blind"
"X.61","2460-710X",NA,"Lingua Cultura","Double blind"
"X.62","1734-1515",NA,"Acta Ichthyologica et Piscatoria","Single blind"
"X.63","2523-1715",NA,"Journal of College of Sharia and Islamic Studies","Double blind"
"X.64","2283-5733",NA,"Global & Regional Health Technology Assessment
","Double blind"
"X.65","1941-7039",NA,"American Journal of Engineering and Applied Sciences","Not blinded"
"X.66","2460-7010",NA,"CommIT (Communication and Information Technology) Journal","Double blind"
"X.67","2087-1228",NA,"Binus Business Review","Double blind"
"X.73","2686-9012",NA,"Economic Consultant","Double blind"
"X.74","1545-8490 (Print)  1545-8504 (Online)",NA,"Decision Analysis","Double blind"
"X.75","2391-6389",NA,"Studia z Polityki Publicznej/Public Policy Studies","Double blind"
"X.76","2476-907X",NA,"ComTech: Computer, Mathematics and Engineering Applications","Double blind"
"X.77","2622-5905",NA,"Health Information : Jurnal Penelitian","Double blind"
"X.78","2046-6390",NA,"Biology Open","Single blind"
"X.79","1754-8403","1754-8411","Disease Models & Mechanisms","Single blind"
"X.92","2465-2628",NA,"AboutOpen","Single blind"
"X.93","2283-5733",NA,"Global & Regional Health Technology Assessment
","Single blind"
"X.94","1177-3928",NA,"Drug Target Insights","Single blind"
"X.95","1849-4544",NA,"Journal of Circulating Biomarkers","Single blind"
"X.96","2705-0076",NA,"Giornale di Clinica Nefrologica e Dialisi","Single blind"
"X.98","1701-2163",NA,"Journal of Obstetrics and Gynaecology Canada","Double blind"
"X.99","1312-6431",NA,"Neurosonology and Cerebral Hemodynamics","Single blind"
"X.100","2544-3275",NA,"Budownictwo i Architektura
","Double blind"
"X.101","2391-6761",NA,"Informatyka, Automatyka, Pomiary w Gospodarce i Ochronie Środowiska","Double blind"
"X.102","2544-0764",NA,"Journal of Computer Sciences Institute
","Double blind"
"X.103","2543-6422",NA,"Protection of Cultural Heritage","Double blind"
"X.104","1941-7020",NA,"American Journal of Engineering and Applied Sciences","Single blind"
"X.105","2178-2679",NA,"Revista Práxis Educacional","Double blind"
"X.106","2231-5209; 0974-9411",NA,"Journal of Applied and Natural Science","Double blind"
"X.107","2582-0400",NA,"Litinfinite Journal","Double blind"
"X.108","2455-1503",NA,"The Researchers","Double blind"
"X.109","2348-991X ",NA,"International Journal of Medical Science and Clinical invention","Double blind"
"X.110","2632-3834",NA,"Qeios","Open (not blinded) Post-Publication"
"X.111","2518-3354",NA,"European Sciense Editing","Single blind"
"X.112","2683-1015","1310-7488","Bʺlgarska kardiologiâ","Single blind"
"X.113","2704-6192","2280-1855","Plant Sociology","Single blind"
"X.114","1311-8706 ",NA,"Silva Balcanica","Single blind"
"X.115","2312-1033",NA,"Research journal of innovative ideas and thoughts","Double blind"
"X.116","2503-040X",NA,"REGISTER JOURNAL","Double blind"
"X.117","1017-995X",NA,"Acta Orthopaedica et Traumatologica Turcica","Double blind"
"X.118","1578-665X","2014-928X","Animal Biodiversity and Conservation
","Single blind"
"X.119","1698-0476",NA,"Arxius de Miscel·lània Zoològica","Single blind"
"X.120","1130-4995","2385-4499","Treballs del Museu de Geologia de Barcelona","Single blind"
"X.121","2658-5561",NA,"Bulletin Social-Economic and Humanitarian Research","Double blind"
"X.122","2732-5164",NA,"Sushruta Journal of Health Policy & Opinions","Not blinded"
"X.123","2732 - 5148",NA,"The Physician","Not blinded"
"X.124","2525-1295",NA,"Estudios económicos","Triple blind"
"X.125","1317-0570/2343-5763",NA,"Telos: Revista de Estudios Interdisciplinarios en Ciencias Sociales","Double blind"
"X.126","2658-4255",NA,"Russian Arctic","Single blind"
"X.127","ISSN 2367-5705 (Print)","ISSN 2367-8704 (Online)","English Studies at NBU","Double blind"
"X.128","2222-5234 (Online)","2220-6655 (Print)","International Journal of Biosciences (IJB)","Double blind"
"X.129","1975-5937",NA,"Journal of Educational Evaluation for Health Professions","Single blind"
"X.130","2545-6377",NA,"Revista del Museo de La Plata","Single blind"
"X.131","2217-8309",NA,"TEM Journal","Double blind"
"X.132","2622-5905",NA,"Health Information : Jurnal Penelitian","Double blind"
"X.133","2456-2069",NA,"Journal of Social Work Education and Practice","Double blind"
"X.134","pISSN: 1225-6463","eISSN: 2233-7326","ETRI Journal","Double blind"
"X.135","2071-1050",NA,"Sustainability
","Single blind"
"X.136","2415-0304",NA,"Empirical Economic Review","Double blind"
"X.137","0973-2063",NA,"BIOINFORMATION","Not blinded"
"X.138","2448-6248",NA,"Voces de la Educación","Double blind"
"X.139","2525-3468",NA,"Informação em Pauta","Double blind"
"X.140","1025-0255",NA,"Archivo Médico de Camagüey","Double blind"
"X.141","2211-8160",NA,"Global Heart","Single blind"
"X.142","0011-748X","0976-464X","Defence Science Journal","Double blind"
"X.143","0120-4645",NA,"Cuadernos de administracion","Double blind"
"X.144","2307-8553",NA,"Asian Journal of Agriculture and Biology","Double blind"
"X.145","2645-9132",NA,"ULUM","Double blind"
"X.146","3075-079","1470-174X","Studies in Higher Education","Double blind"
"X.147","1815-60","1573-174X","Higher Education","Double blind"
"X.148","4873-33",NA,"Research Policy","Double blind"
"X.149","2212-4438",NA,"Journal of the World Federation of Orthodontists","Double blind"
"X.150","2617-541X",NA,"Lex Portus","Double blind"
"X.151","2617-541X",NA,"Lex Portus","Not blinded"
"X.152","2688-9374",NA,"Liberal Studies","Not blinded"
"X.153","1998-4634",NA,"Eminak","Double blind"
"X.154","P-ISSN: 2322-2913 E-ISSN: 2345-640x",NA,"The International Journal of Medical Investigation","Double blind"
"X.155","2300-5076",NA,"Physical Activity Review","Double blind"
"X.156","0019-462X",NA,"Indian Drugs","Double blind"
"X.157","2236-269X",NA,"Independent Journal of Management & Production","Double blind"
"X.158","1788-7119",NA,"European Journal of Mental Health","Double blind"
"X.159","2415-6698",NA,"Advances in Science, Technology and Engineering Systems Journal","Double blind"
"X.160","2226-0994","2414-5904","The Journal of V. N. Karazin Kharkiv National University, Series ""Philosophy. Philosophical Peripeteias""","Double blind"
"X.161","1666-1680",NA,"Técnica Administrativa","Double blind"
"X.162","2651-3978","2636-8110","Hitit University Journal of Divinity Faculty","Double blind"
"X.163","2451-3202","2543-702X","Studia Historiae Scientiarum","Double Blind and Single Blind and Not blined in rare cases - see ""Peer review policy"" URL"
"X.164","2603-431X ",NA,"Viticulture Data Journal (VDJ)","Single blind"
"X.165","2048-043","1314-2143","Folia Medica","Single blind"
"X.166","2367-7163",NA,"Research Ideas and Outcomes (RIO)","Single blind"
"X.167","1561-2937",NA,"Revista Cubana de Cardiología y Cirugía Cardiovascular","Double blind"
"X.169","2477-9628",NA,"Kasmera","Double blind"
"X.170","0255-965X","1842-4309","Notulae Botanicae Horti Agrobotanici Cluj-Napoca","Double blind"
"X.171","2067-3205","2067-3264","Notulae Scientia Biologicae","Double blind"
"X.172","2455-3166",NA,"Journal of Research in Traditional Medicine","Double blind"
"X.173","2395-8200",NA,"Economía Creativa","Double blind"
"X.174","2475-8752",NA,"Fórum Empresarial","Double blind"
"X.175","2043-6262",NA,"Advances in Natural Sciences: Nanoscience and Nanotechnology","Double blind"
"X.176","1816-2711","2220-5810","Pakistan Journal of Statistics and Operation Research","Double blind"
"X.177","2617-5770",NA,"SEISENS Journal of Management","Double blind"
"X.178","2217-2661",NA,"International Journal of Industrial Engineering and Management","Double blind"
"X.179","1932-6203",NA,"PLOS ONE","Single blind"
"X.180","1544-9173","1545-7885","PLOS Biology","Single blind"
"X.181","1549-1277","1549-1676","PLOS Medicine","Single blind"
"X.182","1553-7390","1553-7404","PLOS Genetics","Single blind"
"X.183","1553-7366","1553-7374","PLOS Pathogens","Single blind"
"X.184","1935-2727","1935-2735","PLOS Neglected Tropical Diseases","Single blind"
"X.185","1553-734X","1553-7358","PLOS Computational Biology","Single blind"
"X.186","2076-3387",NA,"Administrative Sciences","Double blind"
"X.187","2076-0752",NA,"Arts","Double blind"
"X.188","2075-5309",NA,"Buildings","Double blind"
"X.189","2624-8549",NA,"Chemistry","Single blind"
"X.190","2079-9721",NA,"Diseases","Single blind"
"X.191","1507-3866","1507-3866","Econometrics","Single blind"
"X.192","2227-7099",NA,"Economies","Double blind"
"X.193","2162-9463",NA,"Education","Double blind"
"X.194","2073-4336",NA,"Games","Double blind"
"X.195","2313-5778",NA,"Genealogy","Double blind"
"X.196","2076-0787","2076-0787","Humanities","Double blind"
"X.197","2079-3200",NA,"Journal of Intelligence","Double blind"
"X.199","2226-471X",NA,"Languages","Double blind"
"X.200","2075-471X",NA,"Laws","Double blind"
"X.201","2571-6182",NA,"Plasma","Single blind"
"X.202","2077-1444",NA,"Religions","Double blind"
"X.203","2326-9863",NA,"Social Sciences","Double blind"
"X.204","2075-4698",NA,"Societies","Double blind"
"X.205","2571-9637",NA,"Surfaces","Double blind"
"X.206","2072-6651","2072-6651","Toxins","Double blind"
"X.210","2465-2628","2465-2628","AboutOpen","Single blind"
"X.211","1612-6033","1612-6041","Zeithistorische Forschungen/Studies in Contemporary History","double blind for longer articles in open issues, not blinded in special issues and for shorter contributions"
"X.212"," 2367-9212",NA,"Bulgarian Journal of Soil Science ","Double blind"
"X.213","2398-8835",NA,"Health Science Reports","Single blind"
"X.214","1758-2946","1758-2946","Journal of Cheminformatics","Single blind, but reviewers have the freedom to sign their reviews."
"X.216","2639-5347",NA,"WikiJournal of Humanities","Not blinded"
"X.217","2002-4436",NA,"WikiJournal of Medicine","Not blinded"
"X.225","1860-5397",NA,"Beilstein Journal of Organic Chemistry","Single blind"
"X.226","2190-4286",NA,"Beilstein Journal of Nanotechnology
","Single blind"
"X.227","1253-611","2651-0561","Ramathibodi Medical Journal","Double blind"
"X.230","2313-4895",NA,"Kyiv-Mohyla Humanities Journal","Double blind"
"X.231","1754-6605","1754-6605","ecancermedicalscience","Single blind"
"X.232","4628-0","1538-3873","Publications of the Astronomical Society of the Pacific","Single blind"
"X.233","1253-611","2651-0561","Ramathibodi Medical Journal","Unsure/not specified"
"X.234","2521-327X",NA,"Quantum","Single blind"
"X.235","2250-96",NA,"Journal of the Mechanics and Physics of Solids","Single blind"
"X.236","2250-96",NA,"Journal of the Mechanics and Physics of Solids","Single blind"
"X.237","2179-7994",NA,"Revista Brasileira de Medicina de Família e Comunidade","Double blind"
"X.238","1754-8403",NA,"Disease Models & Mechanisms","Single blind"
"X.239","2046-6390",NA,"Biology Open","Single blind"
"X.240","2046-1402",NA,"F1000 Research","open (not blinded) post publication "
"X.241","2398-502X",NA,"Wellcome Open Research","open (not blinded) post publication "
"X.242","2572-4754",NA,"Gates Open Research","open (not blinded) post publication "
"X.243","2515-9321",NA,"AAS Open Research","open (not blinded) post publication "
"X.244","2515-4826",NA,"HRB Open Research","open (not blinded) post publication "
"X.245","2517-6900",NA,"AMRC Open Research","open (not blinded) post publication "
"X.246","2515-5059",NA,"MNI Open Research","open (not blinded) post publication "
"X.248","2054-5703","2054-5703","Royal Society Open Science","Single blind"
"X.249","2046-2441","2046-2441","Open Biology","Single blind"
"X.250","1398-9219","1600-0854","Traffic","Single blind"
"X.251","2470-6345",NA,"WikiJournal of Science","Not blinded"
"X.253","1398-9219","1600-0854","Traffic","Single blind"
"X.254","6497-1","1528-0020","Blood","Unsure/not specified"
"X.255","0953-816X","1460-9568","European Journal of Neuroscience","Not blinded"
"X.257","9059-180","1600-0617","European Respiratory Review","Single blind"
"X.258","2312-0541",NA,"ERJ Open Research","Single blind"
"X.259","1810-6838","2073-4735","Breathe","Single blind"
"X.260","1932-6203",NA,"PLOS ONE","Single blind"
"X.261","1544-9173","1545-7885","PLOS Biology","Single blind"
"X.262","1549-1277","1549-1676","PLOS Medicine","Single blind"
"X.263","1553-7390","1553-7404","PLOS Genetics","Single blind"
"X.264","1553-7366","1553-7374","PLOS Pathogens","Single blind"
"X.265","1935-2735",NA,"PLOS Neglected Tropical Diseases","Single blind"
"X.266","2347-4688","2321-9971","Current Agriculture Research Journal","Double blind"
"X.267","9734-929","2320-8031","Current World Environment","Double blind"
"X.270","1064-6671",NA,"SPE Drilling & Completion","Single blind"
"X.271","1930-1855",NA,"SPE Production & Operations","Single blind"
"X.274","1086-055X",NA,"SPE Journal","Single blind"
"X.275","8923-310","8923-310","Journal of Scientific Exploration","Single blind"
"X.276","1663-4365",NA,"Frontiers in Aging Neuroscience","Single blind"
"X.277","2297-4687",NA,"Frontiers in Applied Mathematics and Statistics","Single blind"
"X.280","1662-5153","1662-5153","Frontiers in Behavioral Neuroscience","Single blind"
"X.281","2624-909X",NA,"Frontiers in Big Data","Single blind"
"X.282","2296-4185",NA,"Frontiers in Bioengineering and Biotechnology","Single blind"
"X.283","2624-7852",NA,"Frontiers in Blockchain","Single blind"
"X.284","2297-3362",NA,"Frontiers in Built Environment","Single blind"
"X.285","2297-055X",NA,"Frontiers in Cardiovascular Medicine","Single blind"
"X.286","2296-634X",NA,"Frontiers in Cell and Developmental Biology","Single blind"
"X.287","2235-2988",NA,"Frontiers in Cellular and Infection Microbiology","Single blind"
"X.288","1662-5102","1662-5102","Frontiers in Cellular Neuroscience","Single blind"
"X.289","2296-2646",NA,"Frontiers in Chemistry","Single blind"
"X.290","2297-900X",NA,"Frontiers in Communication","Single blind"
"X.291","1662-5188","1662-5188","Frontiers in Computational Neuroscience","Single blind"
"X.292","2297-2668",NA,"Frontiers in Digital Humanities","Single blind"
"X.293","2296-6463",NA,"Frontiers in Earth Science","Single blind"
"X.294","2296-701X",NA,"Frontiers in Ecology and Evolution","Single blind"
"X.295","2504-284X",NA,"Frontiers in Education","Single blind"
"X.296","1664-2392",NA,"Frontiers in Endocrinology","Single blind"
"X.297","2296-665X",NA,"Frontiers in Environmental Science","Single blind"
"X.298","1663-070X",NA,"Frontiers in Evolutionary Neuroscience","Single blind"
"X.299","2624-893X",NA,"Frontiers in Forests and Global Change","Single blind"
"X.300","1664-8021",NA,"Frontiers in Genetics","Single blind"
"X.301","1662-5161","1662-5161","Frontiers in Human Neuroscience","Single blind"
"X.302","2297-198X",NA,"Frontiers in ICT","Single blind"
"X.303","1664-3224",NA,"Frontiers in Immunology","Single blind"
"X.304","1662-5145","1662-5145","Frontiers in Integrative Neuroscience","Single blind"
"X.305","2296-7745",NA,"Frontiers in Marine Science","Single blind"
"X.306","2296-8016",NA,"Frontiers in Materials","Single blind"
"X.307","2297-3079",NA,"Frontiers in Mechanical Engineering","Single blind"
"X.308","2296-858X",NA,"Frontiers in Medicine","Single blind"
"X.309","1664-302X",NA,"Frontiers in Microbiology","Single blind"
"X.310","2296-889X",NA,"Frontiers in Molecular Biosciences","Single blind"
"X.311","1662-5099","1662-5099","Frontiers in Molecular Neuroscience","Single blind"
"X.312","1662-5110","1662-5110","Frontiers in Neural Circuits","Single blind"
"X.313","1662-5129","1662-5129","Frontiers in Neuroanatomy","Single blind"
"X.314","1662-6427",NA,"Frontiers in Neuroenergetics","Single blind"
"X.315","1662-6443","1662-6443","Frontiers in Neuroengineering","Single blind"
"X.316","1662-5196","1662-5196","Frontiers in Neuroinformatics","Single blind"
"X.317","1664-2295",NA,"Frontiers in Neurology","Single blind"
"X.318","1662-5218",NA,"Frontiers in Neurorobotics","Single blind"
"X.319","1662-4548","1662-453X","Frontiers in Neuroscience","Single blind"
"X.320","2296-861X",NA,"Frontiers in Nutrition","Single blind"
"X.321","2234-943X",NA,"Frontiers in Oncology","Single blind"
"X.322","2296-2360",NA,"Frontiers in Pediatrics","Single blind"
"X.323","1663-9812",NA,"Frontiers in Pharmacology","Single blind"
"X.324","2296-424X",NA,"Frontiers in Physics","Single blind"
"X.325","1664-042X",NA,"Frontiers in Physiology","Single blind"
"X.326","1664-462X",NA,"Frontiers in Plant Science","Single blind"
"X.327","1664-0640",NA,"Frontiers in Psychiatry","Single blind"
"X.328","1664-1078",NA,"Frontiers in Psychology","Single blind"
"X.329","2296-2565",NA,"Frontiers in Public Health","Single blind"
"X.330","2504-0537",NA,"Frontiers in Research Metrics and Analytics","Single blind"
"X.331","2296-9144",NA,"Frontiers in Robotics and AI","Single blind"
"X.332","2297-7775",NA,"Frontiers in Sociology","Single blind"
"X.333","2296-875X",NA,"Frontiers in Surgery","Single blind"
"X.334","2571-581X",NA,"Frontiers in Sustainable Food Systems","Single blind"
"X.335","1663-3563",NA,"Frontiers in Synaptic Neuroscience","Single blind"
"X.337","2297-1769",NA,"Frontiers in Veterinary Science","Single blind"
"X.338","1754-8403","1754-8411","Disease Models & Mechanisms","Single blind"
"X.339","2046-6390",NA,"Biology Open","Single blind"
"X.340","1754-8403","1754-8411","Disease Models & Mechanisms","Single blind"
"X.341","2195-33","1477-9137","Journal of Cell Science","Single blind"
"X.342","2209-49","1477-9145","Journal of Experimental Biology","Single blind"
"X.343","9501-991","1477-9129","Development","Single blind"
"X.344","2413-4155",NA,"Sci","Not blinded"
"X.345","2076-0825",NA,"Actuators","Single blind"
"X.346","2226-4310",NA,"Aerospace","Single blind"
"X.347","2077-0472","2077-0472","Agriculture","Single blind"
"X.348","2624-7402",NA,"AgriEngineering","Single blind"
"X.349","2073-4395",NA,"Agronomy","Single blind"
"X.350","1999-4893",NA,"Algorithms","Single blind"
"X.351","2076-2615",NA,"Animals","Single blind"
"X.352","2079-6382",NA,"Antibiotics","Single blind"
"X.353","2073-4468",NA,"Antibodies","Single blind"
"X.354","2076-3921",NA,"Antioxidants","Single blind"
"X.355","2076-3417",NA,"Applied Sciences","Single blind"
"X.356","2571-5577",NA,"Applied System Innovation","Single blind"
"X.357","1598-3560",NA,"Atmosphere","Single blind"
"X.358","2218-2004",NA,"Atoms","Single blind"
"X.359","2075-1680",NA,"Axioms","Single blind"
"X.360","2313-0105",NA,"Batteries","Single blind"
"X.361","2076-328X",NA,"Behavioral Sciences","Single blind"
"X.362","2306-5710",NA,"Beverages","Single blind"
"X.363","2504-2289",NA,"Big Data and Cognitive Computing","Single blind"
"X.364","2306-5354",NA,"Bioengineering","Single blind"
"X.365","2079-7737",NA,"Biology","Single blind"
"X.366","2227-9059",NA,"Biomedicines","Single blind"
"X.367","2313-7673",NA,"Biomimetics","Single blind"
"X.368","2218-273X",NA,"Biomolecules","Single blind"
"X.369","2079-6374","2079-6374","Biosensors","Double blind"
"X.370","2076-3425",NA,"Brain Sciences","Double blind"
"X.372","2072-6694",NA,"Cancers","Double blind"
"X.373","2073-4344",NA,"Catalysts","Double blind"
"X.374","2073-4409",NA,"Cells","Double blind"
"X.375","2571-6131",NA,"Ceramics","Double blind"
"X.376","2078-1547",NA,"Challenges","Double blind"
"X.377","2305-7084",NA,"ChemEngineering","Double blind"
"X.378","2227-9040",NA,"Chemosensors","Double blind"
"X.379","2227-9067",NA,"Children","Double blind"
"X.380","2225-1154",NA,"Climate","Double blind"
"X.381","2624-5175",NA,"Clocks & Sleep","Double blind"
"X.382","2079-6412",NA,"Coatings","Double blind"
"X.383","2504-5377",NA,"Colloids and Interfaces","Double blind"
"X.384","2079-3197",NA,"Computation","Double blind"
"X.385","2073-431X",NA,"Computers","Double blind"
"X.386","2410-3896",NA,"Condensed Matter","Double blind"
"X.387","2079-9284",NA,"Cosmetics","Double blind"
"X.388","2410-387X",NA,"Cryptography","Double blind"
"X.389","2073-4352",NA,"Crystals","Double blind"
"X.390","2306-5729",NA,"Data","Double blind"
"X.391","2304-6767",NA,"Dentistry Journal","Double blind"
"X.392","2411-9660",NA,"Designs","Double blind"
"X.393","2075-4418",NA,"Diagnostics","Double blind"
"X.394","2079-9721",NA,"Diseases","Double blind"
"X.395","1424-2818",NA,"Diversity","Double blind"
"X.396","2504-446X",NA,"Drones","Double blind"
"X.397","2079-9292",NA,"Electronics","Double blind"
"X.398","1996-1073",NA,"Energies","Double blind"
"X.399","1099-4300",NA,"Entropy","Double blind"
"X.400","2076-3298",NA,"Environments","Double blind"
"X.401","2075-4655",NA,"Epigenomes","Double blind"
"X.402","2311-5637",NA,"Fermentation","Double blind"
"X.403","2079-6439",NA,"Fibers","Double blind"
"X.404","2571-6255",NA,"Fire","Double blind"
"X.405","2410-3888",NA,"Fishes","Double blind"
"X.406","2311-5521",NA,"Fluids","Double blind"
"X.407","2304-8158",NA,"Foods","Double blind"
"X.408","2571-9394",NA,"Forecasting","Double blind"
"X.409","1999-4907",NA,"Forests","Double blind"
"X.410","2504-3110",NA,"Fractal and Fractional","Double blind"
"X.411","1999-5903",NA,"Future Internet","Double blind"
"X.424","2078-2489",NA,"Information","Double blind"
"X.435","2220-9964",NA,"ISPRS International Journal of Geo-Information","Double blind"
"X.448","2077-1312",NA,"Journal of Marine Science and Engineering","Double blind"
"X.449","2624-845X",NA,"Journal of Nanotheranostics","Double blind"
"X.451","2075-4426",NA,"Journal of Personalized Medicine","Double blind"
"X.452","1911-8074",NA,"Journal of Risk and Financial Management","Double blind"
"X.453","2224-2708",NA,"Journal of Sensor and Actuator Networks","Double blind"
"X.454","2073-445X",NA,"Land","Double blind"
"X.455","2075-1729",NA,"Life","Double blind"
"X.456","2305-6290",NA,"Logistics","Double blind"
"X.457","2075-4442",NA,"Lubricants","Double blind"
"X.458","2504-4990",NA,"Machine Learning and Knowledge Extraction","Double blind"
"X.459","2075-1702",NA,"Machines","Double blind"
"X.461","1660-3397",NA,"Marine Drugs","Double blind"
"X.462","1996-1944",NA,"Materials","Double blind"
"X.463","1300-686X",NA,"Mathematical and Computational Applications","Double blind"
"X.464","2227-7390",NA,"Mathematics","Double blind"
"X.475","1422-8599",NA,"Molbank","Double blind"
"X.488","2304-6732",NA,"Photonics","Double blind"
"X.489","2223-7747",NA,"Plants","Double blind"
"X.490","2571-6182",NA,"Plasma","Double blind"
"X.528","2032-6653",NA,"World Electric Vehicle Journal","Double blind"
"X.529","1754-8403","1754-8411","Disease Models & Mechanisms","Single blind"
"X.530","2046-6390",NA,"Biology Open","Single blind"
"X.538","2209-49","1477-9145","Journal of Experimental Biology","Single blind"
"X.539","2046-6390",NA,"Biology Open","Single blind"
"X.540","1754-8403","1754-8411","Disease Models & Mechanisms","Single blind"
"X.541","2195-33","1477-9137","Journal of Cell Science","Single blind"
"X.542","9501-991","1477-9129","Development","Single blind"
"X.544","2050-084X",NA,"eLife","Consultative peer review (reviewers discuss their independent reports with one another and can optionally reveal their names to the authors)"
"X.545","2054-5703","2054-5703","Royal Society Open Science","Single blind"
"X.546","2046-2441","2046-2441","Open Biology","Single blind"
"X.547","2054-5703","2054-5703","Royal Society Open Science","Single blind"
"X.548","9916-3","1399-0004","Clinical Genetics","Single blind"
"X.549","2167-8359",NA,"PeerJ","Optional single blind (reviewers can choose to name themselves)"
"X.550","2376-5992",NA,"PeerJ Computer Science","Optional single blind (reviewers can choose to name themselves)"
"X.554","2398-502X",NA,"Wellcome Open Research","open (not blinded) post publication "
"X.555","2572-4754",NA,"Gates Open Research","open (not blinded) post publication "
"X.556","2515-9321",NA,"AAS Open Research","open (not blinded) post publication "
"X.557","2515-4826",NA,"HRB Open Research","open (not blinded) post publication "
"X.558","2517-6900",NA,"AMRC Open Research","open (not blinded) post publication "
"X.559","2515-5059",NA,"MNI Open Research","open (not blinded) post publication "
"X.562","2637-5923",NA,"Current Research in Digital History","Not blinded"
"X.564","3067-8","1080-6490","American Quarterly","Double blind"
"X.568","8867-356","1548-1360","Cultural Anthropology","Double blind"
"X.571","4409-213","2328-1103","Historical Archaeology","Single blind"
"X.572","2325-6893",NA,"Journal of Southern History","Double blind"
"X.574","1084-5453","1930-8892","Environmental History","Double blind"
"X.576","2162-3309",NA,"Journal of Librarianship and Scholarly Communication","Double blind"
"X.577","2723-433","1533-8576","The Public Historian","Double blind"
"X.583","1944-8007","9482-76","Geophysical Research Letters","Unsure/not specified"
"X.588","2041-8205","2041-8213","The Astrophysical Journal","Single blind"
"X.589","3695-1","3695-1","Applied Physics Letters","Unsure/not specified"
