"","journal","ISSN","eISSN","publisher","language_1","language_2","language_3","language_4","language_5","language_6","language_7","language_8","language_9","language_10","language_11","language_12","category_1","category_2","category_3","category_4","category_5","category_6","Index","publisher_country","model","weekstopub","APC","APC_amount","waiver","citations","JIF_2022","JIF_quartile","JCI_2022","percent_OAGold"
"11","JOURNAL_OF_PEASANT_STUDIES","0306-6150","1743-9361","ROUTLEDGE_JOURNALS,_TAYLOR_&_FRANCIS_LTD","English",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Anthropology","DevelopmentStudies",NA,NA,NA,NA,"SSCI",NA,NA,NA,NA,NA,NA,NA,5.1,NA,2.18,28.72
"12","SCIENCE_AND_TECHNOLOGY_OF_ARCHAEOLOGICAL_RESEARCH","2054-8923","2054-8923","ROUTLEDGE_JOURNALS,_TAYLOR_&_FRANCIS_LTD","English",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Archaeology",NA,NA,NA,NA,NA,"ESCI","United_Kingdom","Double_anonymous_peer_review",6,"Yes","1740_AUD;_1200_EUR;_1250_USD;_1000_GBP","Yes",208,3.5,NA,1.31,100
"13","FRONTIERS_OF_ARCHITECTURAL_RESEARCH","2095-2635","2095-2643","KEAI_PUBLISHING_LTD","English",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Architecture",NA,NA,NA,NA,NA,"AHCI","China","Anonymous_peer_review",17,"Yes","1500_USD","Yes",NA,3.5,NA,4.43,90.1
"14","JOURNAL_OF_CHINESE_POLITICAL_SCIENCE","1080-6954","1874-6357","SPRINGER","English",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AreaStudies","PoliticalScience",NA,NA,NA,NA,"SSCI",NA,NA,NA,NA,NA,NA,826,4.4,NA,2.85,8.11
"15","CODESIGN-INTERNATIONAL_JOURNAL_OF_COCREATION_IN_DESIGN_AND_THE_ARTS","1571-0882","1745-3755","TAYLOR_&_FRANCIS_LTD","English",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Art",NA,NA,NA,NA,NA,"AHCI",NA,NA,NA,NA,NA,NA,NA,1.8,NA,4.7,31.82
"16","SOUTH_ASIAN_STUDIES","0266-6030","2153-2699","ROUTLEDGE_JOURNALS,_TAYLOR_&_FRANCIS_LTD","English",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AsianStudies",NA,NA,NA,NA,NA,"ESCI",NA,NA,NA,NA,NA,NA,197,2.5,NA,0.73,2.78
"17","ANNUAL_REVIEW_OF_ASTRONOMY_AND_ASTROPHYSICS","0066-4146","1545-4282","ANNUAL_REVIEWS","English",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Astronomy&Astrophysics",NA,NA,NA,NA,NA,"SCIE",NA,NA,NA,NA,NA,NA,NA,33.3,NA,3.69,2.56
"18","EAR_AND_HEARING","0196-0202","1538-4667","LIPPINCOTT_WILLIAMS_&_WILKINS","English",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Audiology&Speech-LanguagePathology","Otorhinolaryngology",NA,NA,NA,NA,"SCIE",NA,NA,NA,NA,NA,NA,NA,3.7,NA,1.79,21.22
"19","ANNUAL_REVIEW_OF_CONTROL_ROBOTICS_AND_AUTONOMOUS_SYSTEMS",NA,"2573-5144","ANNUAL_REVIEWS","English",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Automation&ControlSystems","Robotics",NA,NA,NA,NA,"SCIE",NA,NA,NA,NA,NA,NA,NA,13.4,NA,2.67,1.43
"20","NEUROSCIENCE_AND_BIOBEHAVIORAL_REVIEWS","0149-7634","1873-7528","PERGAMON-ELSEVIER_SCIENCE_LTD","English",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BehavioralSciences","Neurosciences",NA,NA,NA,NA,"SCIE",NA,NA,NA,NA,NA,NA,NA,8.2,NA,1.39,28.33
"21","NATURE_METHODS","1548-7091","1548-7105","NATURE_PORTFOLIO","English",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BiochemicalResearchMethods",NA,NA,NA,NA,NA,"SCIE",NA,NA,NA,NA,NA,NA,NA,48,NA,9.1,17.89
"22","NATURE_MEDICINE","1078-8956","1546-170X","NATURE_PORTFOLIO","English",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Biochemistry&MolecularBiology","CellBiology","Medicine,Research&Experimental",NA,NA,NA,"SCIE",NA,NA,NA,NA,NA,NA,NA,82.9,NA,14.06,28.1
"23","GLOBAL_CHANGE_BIOLOGY","1354-1013","1365-2486","WILEY","English",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BiodiversityConservation","Ecology","EnvironmentalSciences",NA,NA,NA,"SCIE",NA,NA,NA,NA,NA,NA,NA,11.6,NA,2.44,29.99
"24","PHYSICS_OF_LIFE_REVIEWS","1571-0645","1873-1457","ELSEVIER","English",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Biology","Biophysics",NA,NA,NA,NA,"SCIE",NA,NA,NA,NA,NA,NA,NA,11.7,NA,1.33,28.21
"25","BIOSENSORS_&_BIOELECTRONICS","0956-5663","1873-4235","ELSEVIER_ADVANCED_TECHNOLOGY","English",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Biophysics","Biotechnology&AppliedMicrobiology","Chemistry,Analytical","Electrochemistry","Nanoscience&Nanotechnology",NA,"SCIE",NA,NA,NA,NA,NA,NA,NA,12.6,NA,2.36,9.93
"26","NATURE_REVIEWS_DRUG_DISCOVERY","1474-1776","1474-1784","NATURE_PORTFOLIO","English",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Biotechnology&AppliedMicrobiology","Pharmacology&Pharmacy",NA,NA,NA,NA,"SCIE",NA,NA,NA,NA,NA,NA,NA,120.1,NA,12.45,6.03
"27","ACADEMY_OF_MANAGEMENT_ANNALS","1941-6520","1941-6067","ACAD_MANAGEMENT","English",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Business","Management",NA,NA,NA,NA,"SSCI",NA,NA,NA,NA,NA,NA,NA,21.2,NA,3.54,0
"28","REVIEW_OF_ASSET_PRICING_STUDIES","2045-9920","2045-9939","OXFORD_UNIV_PRESS","English",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Business,Finance",NA,NA,NA,NA,NA,"ESCI",NA,NA,NA,NA,NA,NA,NA,13.1,NA,3.64,16.25
"29","NATURE_REVIEWS_CARDIOLOGY","1759-5002","1759-5010","NATURE_PORTFOLIO","English",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cardiac&CardiovascularSystem",NA,NA,NA,NA,NA,"SCIE",NA,NA,NA,NA,NA,NA,NA,49.6,NA,6.6,2.98
"30","CELL_STEM_CELL","1934-5909","1875-9777","CELL_PRESS","English",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cell&TissueEngineering","CellBiology",NA,NA,NA,NA,"SCIE",NA,NA,NA,NA,NA,NA,NA,23.9,NA,4.18,65.14
"31","NATURE_REVIEWS_MOLECULAR_CELL_BIOLOGY","1471-0072","1471-0080","NATURE_PORTFOLIO","English",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CellBiology",NA,NA,NA,NA,NA,"SCIE",NA,NA,NA,NA,NA,NA,NA,112.7,NA,8.82,2.08
"32","TRAC-TRENDS_IN_ANALYTICAL_CHEMISTRY","0165-9936","1879-3142","ELSEVIER_SCI_LTD","English",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Chemistry,Analytical",NA,NA,NA,NA,NA,"SCIE",NA,NA,NA,NA,NA,NA,NA,13.1,NA,1.31,12.23
"33","CHINESE_JOURNAL_OF_CATALYSIS","0253-9837","1872-2067","ELSEVIER","English",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Chemistry,Applied","Chemistry,Physical","Engineering,Chemical",NA,NA,NA,"SCIE",NA,NA,NA,NA,NA,NA,NA,16.5,NA,2.29,1.95
"34","COORDINATION_CHEMISTRY_REVIEWS","0010-8545","1873-3840","ELSEVIER_SCIENCE_SA","Multi-Language",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Chemistry,Inorganic&Nuclear",NA,NA,NA,NA,NA,"SCIE",NA,NA,NA,NA,NA,NA,NA,20.6,NA,1.78,9.9
"35","MEDICINAL_RESEARCH_REVIEWS","0198-6325","1098-1128","WILEY","English",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Chemistry,Medicinal","Pharmacology&Pharmacy",NA,NA,NA,NA,"SCIE",NA,NA,NA,NA,NA,NA,NA,13.3,NA,1.67,14.4
"36","CHEMICAL_REVIEWS","0009-2665","1520-6890","AMER_CHEMICAL_SOC","English",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Chemistry,Multidisciplinary",NA,NA,NA,NA,NA,"SCIE",NA,NA,NA,NA,NA,NA,NA,62.1,NA,4.2,13.13
"37","ORGANIC_CHEMISTRY_FRONTIERS","2052-4129","2052-4129","ROYAL_SOC_CHEMISTRY","English",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Chemistry,Organic",NA,NA,NA,NA,NA,"SCIE",NA,NA,NA,NA,NA,NA,NA,5.4,NA,1.32,2.84
"38","NATURE_MATERIALS","1476-1122","1476-4660","NATURE_PORTFOLIO","English",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Chemistry,Physical","MaterialsScience,Multidisciplinary","Physics,Applied","Physics,CondensedMatter",NA,NA,"SCIE",NA,NA,NA,NA,NA,NA,NA,41.2,NA,6.64,4.43
"39","CLASSICAL_PHILOLOGY","0009-837X","1546-072X","UNIV_CHICAGO_PRESS","English",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Classics",NA,NA,NA,NA,NA,"AHCI",NA,NA,NA,NA,NA,NA,677,1,NA,3.23,1.35
"40","LANCET_NEUROLOGY","1474-4422","1474-4465","ELSEVIER_SCIENCE_INC","English",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ClinicalNeurology",NA,NA,NA,NA,NA,"SCIE",NA,NA,NA,NA,NA,NA,NA,48,NA,12.82,12.04
"41","COMMUNICATION_METHODS_AND_MEASURES","1931-2458","1931-2466","ROUTLEDGE_JOURNALS,_TAYLOR_&_FRANCIS_LTD","English",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Communication",NA,NA,NA,NA,NA,"SSCI",NA,NA,NA,NA,NA,NA,NA,11.4,NA,3.59,35.19
"42","FOUNDATIONS_AND_TRENDS_IN_MACHINE_LEARNING","1935-8237","1935-8245","NOW_PUBLISHERS_INC","English",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ComputerScience,ArtificialIntelligence",NA,NA,NA,NA,NA,"ESCI",NA,NA,NA,NA,NA,NA,NA,32.8,NA,8.86,0
"43","HUMAN-COMPUTER_INTERACTION","0737-0024","1532-7051","TAYLOR_&_FRANCIS_INC","English",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ComputerScience,Cybernetics","ComputerScience,Theory&Methods",NA,NA,NA,NA,"SCIE",NA,NA,NA,NA,NA,NA,NA,5.3,NA,0.89,29.41
"44","COMMUNICATIONS_OF_THE_ACM","0001-0782","1557-7317","ASSOC_COMPUTING_MACHINERY","English",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ComputerScience,Hardware&Architecture","ComputerScience,SoftwareEngineering","ComputerScience,Theory&Methods",NA,NA,NA,"SCIE",NA,NA,NA,NA,NA,NA,NA,22.7,NA,8.05,0.36
"45","IEEE_COMMUNICATIONS_SURVEYS_AND_TUTORIALS",NA,"1553-877X","IEEE-INST_ELECTRICAL_ELECTRONICS_ENGINEERS_INC","English",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ComputerScience,InformationSystems","Telecommunications",NA,NA,NA,NA,"SCIE",NA,NA,NA,NA,NA,NA,NA,35.6,NA,8.77,21.58
"46","FOUNDATIONS_AND_TRENDS_IN_COMPUTER_GRAPHICS_AND_VISION","1572-2740","1572-2759","NOW_PUBLISHERS_INC","English",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ComputerScience,InterdisciplinaryApplications",NA,NA,NA,NA,NA,"ESCI",NA,NA,NA,NA,NA,NA,405,36.5,NA,3.22,85.71
"47","IEEE_TRANSACTIONS_ON_SOFTWARE_ENGINEERING","0098-5589","1939-3520","IEEE_COMPUTER_SOC","English",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ComputerScience,SoftwareEngineering","Engineering,Electrical&Electronic",NA,NA,NA,NA,"SCIE",NA,NA,NA,NA,NA,NA,NA,7.4,NA,2.42,13.72
"48","ACM_COMPUTING_SURVEYS","0360-0300","1557-7341","ASSOC_COMPUTING_MACHINERY","English",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ComputerScience,Theory&Methods",NA,NA,NA,NA,NA,"SCIE",NA,NA,NA,NA,NA,NA,NA,16.6,NA,4.19,0
"49","SUSTAINABLE_CITIES_AND_SOCIETY","2210-6707","2210-6715","ELSEVIER","English",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Construction&BuildingTechnology","Green&SustainableScience&Technology","Energy&Fuels",NA,NA,NA,"SCIE",NA,NA,NA,NA,NA,NA,NA,11.7,NA,1.85,12.06
"50","ANNUAL_REVIEW_OF_CRIMINOLOGY","2572-4568","2572-4568","ANNUAL_REVIEWS","English",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Criminology&Penology",NA,NA,NA,NA,NA,"SSCI",NA,NA,NA,NA,NA,NA,859,6.9,NA,3.6,1.92
"51","LANCET_RESPIRATORY_MEDICINE","2213-2600","2213-2619","ELSEVIER_SCI_LTD","English",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CriticalCareMedicine","RespiratorySystem",NA,NA,NA,NA,"SCIE",NA,NA,NA,NA,NA,NA,NA,76.2,NA,11.75,21.55
"52","PROGRESS_IN_CRYSTAL_GROWTH_AND_CHARACTERIZATION_OF_MATERIALS","0960-8974","1878-4208","PERGAMON-ELSEVIER_SCIENCE_LTD","English",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Crystallography","MaterialsScience,Characterization,Testing",NA,NA,NA,NA,"SCIE",NA,NA,NA,NA,NA,NA,NA,5.1,NA,0.78,4.35
"53","SOCIAL_TEXT","0164-2472","1527-1951","DUKE_UNIV_PRESS","English",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CulturalStudies",NA,NA,NA,NA,NA,"ESCI",NA,NA,NA,NA,NA,NA,NA,3.3,NA,2.18,0
"54","RESEARCH_IN_DANCE_EDUCATION","1464-7893","1470-1111","ROUTLEDGE_JOURNALS,_TAYLOR_&_FRANCIS_LTD","English",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dance",NA,NA,NA,NA,NA,"AHCI",NA,NA,NA,NA,NA,NA,294,1,NA,3.45,15.57
"55","JOURNAL_OF_POPULATION_ECONOMICS","0933-1433","1432-1475","SPRINGER","English",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Demography","Economics",NA,NA,NA,NA,"SSCI",NA,NA,NA,NA,NA,NA,NA,6.1,NA,2.12,43.26
"56","PERIODONTOLOGY_2000","0906-6713","1600-0757","WILEY","English",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dentistry,OralSurgery&Medicine",NA,NA,NA,NA,NA,"SCIE",NA,NA,NA,NA,NA,NA,NA,18.6,NA,3.17,22.88
"57","JOURNAL_OF_THE_AMERICAN_ACADEMY_OF_DERMATOLOGY","0190-9622","1097-6787","MOSBY-ELSEVIER","English",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dermatology",NA,NA,NA,NA,NA,"SCIE",NA,NA,NA,NA,NA,NA,NA,13.8,NA,3.62,14.45
"58","SUSTAINABLE_DEVELOPMENT","0968-0802","1099-1719","WILEY","English",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DevelopmentStudies","Green&SustainableScience&Technology","Regional&UrbanPlanning",NA,NA,NA,"SSCI",NA,NA,NA,NA,NA,NA,NA,12.5,NA,2.11,19.42
"59","DEVELOPMENT","0950-1991","1477-9129","COMPANY_BIOLOGISTS_LTD","English",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DevelopmentalBiology",NA,NA,NA,NA,NA,"SCIE",NA,NA,NA,NA,NA,NA,NA,4.6,NA,1.25,53.26
"60","NATURE_ECOLOGY_&_EVOLUTION","2397-334X","2397-334X","NATURE_PORTFOLIO","English",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ecology","EvolutionaryBiology",NA,NA,NA,NA,"SCIE",NA,NA,NA,NA,NA,NA,NA,16.8,NA,3.93,11.18
"61","TRENDS_IN_ECOLOGY_&_EVOLUTION","0169-5347","1872-8383","CELL_PRESS","English",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ecology","EvolutionaryBiology","Genetics&Heredity",NA,NA,NA,"SCIE",NA,NA,NA,NA,NA,NA,NA,16.8,NA,1.89,37.84
"62","QUARTERLY_JOURNAL_OF_ECONOMICS","0033-5533","1531-4650","OXFORD_UNIV_PRESS_INC","English",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Economics",NA,NA,NA,NA,NA,"SSCI",NA,NA,NA,NA,NA,NA,NA,13.7,NA,5.14,15.69
"63","COMPUTERS_&_EDUCATION","0360-1315","1873-782X","PERGAMON-ELSEVIER_SCIENCE_LTD","English",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Education&EducationalResearch",NA,NA,NA,NA,NA,"SSCI",NA,NA,NA,NA,NA,NA,NA,12,NA,3.75,19.36
"64","ACADEMIC_MEDICINE","1040-2446","1938-808X","LIPPINCOTT_WILLIAMS_&_WILKINS","English",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Education,ScientificDisciplines","HealthCareSciences&Services",NA,NA,NA,NA,"SCIE",NA,NA,NA,NA,NA,NA,NA,7.4,NA,2.05,8.75
"65","JOURNAL_OF_INTELLECTUAL_DISABILITY_RESEARCH","0964-2633","1365-2788","WILEY","English",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Education,Special","Rehabilitation",NA,NA,NA,NA,"SSCI",NA,NA,NA,NA,NA,NA,NA,3.6,NA,1.09,22.14
"66","ELECTROCHEMICAL_ENERGY_REVIEWS","2520-8489","2520-8136","SPRINGERNATURE","English",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Electrochemistry",NA,NA,NA,NA,NA,"SCIE",NA,NA,NA,NA,NA,NA,NA,31.3,NA,2.15,25.26
"67","WORLD_JOURNAL_OF_EMERGENCY_SURGERY","1749-7922","1749-7922","BMC","English",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EmergencyMedicine","Surgery",NA,NA,NA,NA,"SCIE","United_Kingdom","Anonymous_peer_review",10,"Yes","2890_GBP;_3790_USD;_3190_EUR","Yes",NA,8,NA,2.41,98.82
"68","LANCET_DIABETES_&_ENDOCRINOLOGY","2213-8587","2213-8595","ELSEVIER_SCIENCE_INC","English",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Endocrinology&Metabolism",NA,NA,NA,NA,NA,"SCIE",NA,NA,NA,NA,NA,NA,NA,44.5,NA,7.51,11.89
"69","NATURE_ENERGY","2058-7546","2058-7546","NATURE_PORTFOLIO","English",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Energy&Fuels","MaterialsScience,Multidisciplinary",NA,NA,NA,NA,"SCIE",NA,NA,NA,NA,NA,NA,NA,56.7,NA,8.53,7.88
"70","SATELLITE_NAVIGATION","2662-9291","2662-1363","SPRINGERNATURE","English",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Engineering,Aerospace","RemoteSensing","Telecommunications",NA,NA,NA,"SCIE","United_Kingdom","Anonymous_peer_review",12,"No",NA,"No",755,11.2,NA,2.1,98.86
"71","NATURE_BIOMEDICAL_ENGINEERING","2157-846X","2157-846X","NATURE_PORTFOLIO","English",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Engineering,Biomedical",NA,NA,NA,NA,NA,"SCIE",NA,NA,NA,NA,NA,NA,NA,28.1,NA,5.37,7.04
"72","DESALINATION","0011-9164","1873-4464","ELSEVIER","English",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Engineering,Chemical","WaterResources",NA,NA,NA,NA,"SCIE",NA,NA,NA,NA,NA,NA,NA,9.9,NA,1.93,10.23
"73","IEEE_TRANSACTIONS_ON_INTELLIGENT_TRANSPORTATION_SYSTEMS","1524-9050","1558-0016","IEEE-INST_ELECTRICAL_ELECTRONICS_ENGINEERS_INC","English",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Engineering,Civil","Engineering,Electrical&Electronic","TransportationScience&Technology",NA,NA,NA,"SCIE",NA,NA,NA,NA,NA,NA,NA,8.5,NA,2.16,6.21
"74","NATURE_ELECTRONICS","2520-1131","2520-1131","NATURE_PORTFOLIO","English",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Engineering,Electrical&Electronic",NA,NA,NA,NA,NA,"SCIE",NA,NA,NA,NA,NA,NA,NA,34.3,NA,5.24,6.13
"75","CHEMICAL_ENGINEERING_JOURNAL","1385-8947","1873-3212","ELSEVIER_SCIENCE_SA","Multi-Language",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Engineering,Environmental","Engineering,Chemical",NA,NA,NA,NA,"SCIE",NA,NA,NA,NA,NA,NA,NA,15.1,NA,1.99,5.78
"76","ENGINEERING_GEOLOGY","0013-7952","1872-6917","ELSEVIER","Multi-Language",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Engineering,Geological","Geosciences,Multidisciplinary",NA,NA,NA,NA,"SCIE",NA,NA,NA,NA,NA,NA,NA,7.4,NA,1.86,12
"77","JOURNAL_OF_MANUFACTURING_SYSTEMS","0278-6125","1878-6642","ELSEVIER_SCI_LTD","English",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Engineering,Industrial","Engineering,Manufacturing","OperationsResearch&ManagementScience",NA,NA,NA,"SCIE",NA,NA,NA,NA,NA,NA,NA,12.1,NA,2.15,15.21
"78","INTERNATIONAL_JOURNAL_OF_EXTREME_MANUFACTURING","2631-8644","2631-7990","IOP_PUBLISHING_LTD","English",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Engineering,Manufacturing","MaterialsScience,Multidisciplinary",NA,NA,NA,NA,"SCIE","United_Kingdom","Anonymous_peer_review",9,"No",NA,"No",NA,14.7,NA,1.24,100
"79","JOURNAL_OF_OCEAN_ENGINEERING_AND_SCIENCE","2468-0133","2468-0133","ELSEVIER","English",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Engineering,Marine","Engineering,Ocean",NA,NA,NA,NA,"SCIE",NA,NA,NA,NA,NA,NA,NA,7.1,NA,1.6,97.48
"80","INTERNATIONAL_JOURNAL_OF_PLASTICITY","0749-6419","1879-2154","PERGAMON-ELSEVIER_SCIENCE_LTD","English",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Engineering,Mechanical","MaterialsScience,Multidisciplinary","Mechanics",NA,NA,NA,"SCIE",NA,NA,NA,NA,NA,NA,NA,9.8,NA,2.1,24.18
"81","COMPOSITES_PART_B-ENGINEERING","1359-8368","1879-1069","ELSEVIER_SCI_LTD","English",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Engineering,Multidisciplinary","MaterialsScience,Composites",NA,NA,NA,NA,"SCIE",NA,NA,NA,NA,NA,NA,NA,13.1,NA,2.8,11.21
