"","journal","ISSN"
"118","NATURE_PLANTS","2055-026X"
"119","AMERICAN_JOURNAL_OF_PSYCHIATRY","0002-953X"
"120","IEEE_REVIEWS_IN_BIOMEDICAL_ENGINEERING","1937-3333"
"121","NANO_ENERGY","2211-2855"
"122","CANADIAN_MEDICAL_ASSOCIATION_JOURNAL","0820-3946"
"123","NANO_TODAY","1748-0132"
"124","ANNUAL_REVIEW_OF_MARINE_SCIENCE","1941-1405"
"125","JOURNAL_OF_THE_ROYAL_SOCIETY_OF_MEDICINE","0141-0768"
"126","TRENDS_IN_BIOTECHNOLOGY","0167-7799"
"127","ACS_NANO","1936-0851"
"128","SCIENCE_TRANSLATIONAL_MEDICINE","1946-6234"
"129","NATURE_STRUCTURAL_&_MOLECULAR_BIOLOGY","1545-9993"
"130","TRENDS_IN_IMMUNOLOGY","1471-4906"
"131","ANGEWANDTE_CHEMIE-INTERNATIONAL_EDITION","1433-7851"
"132","ANNUAL_REVIEW_OF_BIOCHEMISTRY","0066-4154"
"133","STUDIES_IN_MYCOLOGY","0166-0616"
"134","ACADEMY_OF_MANAGEMENT_REVIEW","0363-7425"
"135","AMERICAN_PSYCHOLOGIST","0003-066X"
"136","ANNUAL_REVIEW_OF_ENVIRONMENT_AND_RESOURCES","1543-5938"
"137","IEEE_JOURNAL_ON_SELECTED_AREAS_IN_COMMUNICATIONS","0733-8716"
"138","ONE_EARTH","2590-3330"
"139","DIABETES_CARE","0149-5992"
"140","NEURON","0896-6273"
"141","ADVANCED_DRUG_DELIVERY_REVIEWS","0169-409X"
"142","ADVANCED_FIBER_MATERIALS","2524-7921"
"143","INTERNATIONAL_MATERIALS_REVIEWS","0950-6608"
"144","LANCET_HIV","2352-3018"
"145","BIOTECHNOLOGY_ADVANCES","0734-9750"
"146","MOLECULAR_CELL","1097-2765"
"147","JOURNAL_OF_CLINICAL_INVESTIGATION","0021-9738"
"148","NEURO-ONCOLOGY","1522-8517"
"149","RENEWABLE_&_SUSTAINABLE_ENERGY_REVIEWS","1364-0321"
"150","TRENDS_IN_MICROBIOLOGY","0966-842X"
"151","TRENDS_IN_NEUROSCIENCES","0166-2236"
"152","PLOS_MEDICINE","1549-1277"
"153","ENVIRONMENTAL_CHEMISTRY_LETTERS","1610-3653"
"154","JOURNAL_OF_INDUSTRIAL_INFORMATION_INTEGRATION","2467-964X"
"155","ADVANCES_IN_COLLOID_AND_INTERFACE_SCIENCE","0001-8686"
"156","MICROBIOME","2049-2618"
"157","INTERNATIONAL_JOURNAL_OF_SURGERY","1743-9191"
"158","JOURNAL_OF_EXPERIMENTAL_MEDICINE","0022-1007"
"159","NATURE_REVIEWS_UROLOGY","1759-4812"
"160","TRENDS_IN_FOOD_SCIENCE_&_TECHNOLOGY","0924-2244"
"161","CRITICAL_CARE","1364-8535"
"162","BRAIN_BEHAVIOR_AND_IMMUNITY","0889-1591"
"163","APPLIED_PHYSICS_REVIEWS","1931-9401"
"164","JOURNAL_OF_THE_AMERICAN_CHEMICAL_SOCIETY","0002-7863"
"165","INTERNATIONAL_JOURNAL_OF_ORAL_SCIENCE","1674-2818"
"166","NUCLEIC_ACIDS_RESEARCH","0305-1048"
"167","ANNUAL_REVIEW_OF_EARTH_AND_PLANETARY_SCIENCES","0084-6597"
"168","IEEE_SIGNAL_PROCESSING_MAGAZINE","1053-5888"
"169","COMPREHENSIVE_REVIEWS_IN_FOOD_SCIENCE_AND_FOOD_SAFETY","1541-4337"
"170","NATURE_CHEMICAL_BIOLOGY","1552-4450"
"171","NATURE_PROTOCOLS","1754-2189"
"172","HARVARD_BUSINESS_REVIEW","0017-8012"
"173","ANNUAL_REVIEW_OF_PHYSICAL_CHEMISTRY","0066-426X"
"174","MYCOSPHERE","2077-7000"
"175","IEEE_GEOSCIENCE_AND_REMOTE_SENSING_MAGAZINE","2473-2397"
"176","ACTA_PHARMACEUTICA_SINICA_B","2211-3835"
"177","BRAIN","0006-8950"
"178","SEMINARS_IN_CANCER_BIOLOGY","1044-579X"
"179","ARTIFICIAL_INTELLIGENCE","0004-3702"
"180","REVIEWS_IN_ENVIRONMENTAL_SCIENCE_AND_BIO-TECHNOLOGY","1569-1705"
"181","CELL_REPORTS_MEDICINE","2666-3791"
"182","APPLIED_MECHANICS_REVIEWS","0003-6900"
"183","IEEE_TRANSACTIONS_ON_EVOLUTIONARY_COMPUTATION","1089-778X"
"184","CLINICAL_MICROBIOLOGY_AND_INFECTION","1198-743X"
"185","OPTO-ELECTRONIC_ADVANCES","2096-4579"
"186","NATURE_ASTRONOMY","2397-3366"
"187","ALZHEIMERS_&_DEMENTIA","1552-5260"
"188","BIOMATERIALS","0142-9612"
"189","HEPATOLOGY","0270-9139"
"190","INTERNATIONAL_JOURNAL_OF_MACHINE_TOOLS_&_MANUFACTURE","0890-6955"
"191","JACC-CARDIOVASCULAR_IMAGING","1936-878X"
"192","ANNUAL_REVIEW_OF_NEUROSCIENCE","0147-006X"
"193","LIVER_CANCER","2235-1795"
"194","JAMA_NETWORK_OPEN","2574-3805"
"195","PLANT_BIOTECHNOLOGY_JOURNAL","1467-7644"
"196","TRENDS_IN_BIOCHEMICAL_SCIENCES","0968-0004"
"197","TRENDS_IN_PHARMACOLOGICAL_SCIENCES","0165-6147"
"198","ANNUAL_REVIEW_OF_ORGANIZATIONAL_PSYCHOLOGY_AND_ORGANIZATIONAL_BEHAVIOR","2327-0608"
"199","OPHTHALMOLOGY","0161-6420"
"200","SCIENCE_ADVANCES","2375-2548"
"201","ADVANCES_IN_METHODS_AND_PRACTICES_IN_PSYCHOLOGICAL_SCIENCE","2515-2459"
"202","AUTOIMMUNITY_REVIEWS","1568-9972"
"203","EUROPEAN_JOURNAL_OF_EPIDEMIOLOGY","0393-2990"
"204","JOURNAL_OF_HAZARDOUS_MATERIALS","0304-3894"
"205","JOURNAL_OF_PHOTOCHEMISTRY_AND_PHOTOBIOLOGY_C-PHOTOCHEMISTRY_REVIEWS","1389-5567"
"206","JOURNAL_OF_THE_AMERICAN_SOCIETY_OF_NEPHROLOGY","1046-6673"
"207","PROGRESS_IN_LIPID_RESEARCH","0163-7827"
"208","TRENDS_IN_MOLECULAR_MEDICINE","1471-4914"
"209","JOURNAL_OF_MANAGEMENT","0149-2063"
"210","PHARMACOLOGY_&_THERAPEUTICS","0163-7258"
"211","REMOTE_SENSING_OF_ENVIRONMENT","0034-4257"
"212","BUSINESS_STRATEGY_AND_THE_ENVIRONMENT","0964-4733"
"213","JOURNAL_OF_THE_NATIONAL_COMPREHENSIVE_CANCER_NETWORK","1540-1405"
"214","GREEN_ENERGY_&_ENVIRONMENT","2096-2797"
"215","JOURNAL_OF_THE_AMERICAN_ACADEMY_OF_CHILD_AND_ADOLESCENT_PSYCHIATRY","0890-8567"
"216","ARTHRITIS_&_RHEUMATOLOGY","2326-5191"
"217","AUTOPHAGY","1554-8627"
"218","MATERIALS_HORIZONS","2051-6347"
"219","QJM-AN_INTERNATIONAL_JOURNAL_OF_MEDICINE","1460-2725"
"220","SMALL","1613-6810"
"221","AMERICAN_JOURNAL_OF_KIDNEY_DISEASES","0272-6386"
"222","RESOURCES_CONSERVATION_AND_RECYCLING","0921-3449"
"223","AGEING_RESEARCH_REVIEWS","1568-1637"
"224","JOURNAL_OF_ENERGY_CHEMISTRY","2095-4956"
"225","POLYMER_REVIEWS","1558-3724"
"226","BIOFUEL_RESEARCH_JOURNAL-BRJ","2292-8782"
"227","CYTOKINE_&_GROWTH_FACTOR_REVIEWS","1359-6101"
"228","JACC-HEART_FAILURE","2213-1779"
"229","ENERGY_MATERIAL_ADVANCES","2097-1133"
"230","ANALYTIC_METHODS_IN_ACCIDENT_RESEARCH","2213-6657"
"231","JOURNAL_OF_MARKETING","0022-2429"
"232","ACS_CATALYSIS","2155-5435"
"233","COMPUTER_SCIENCE_REVIEW","1574-0137"
"234","IEEE_WIRELESS_COMMUNICATIONS","1536-1284"
"235","MICROBIOLOGY_AND_MOLECULAR_BIOLOGY_REVIEWS","1092-2172"
"236","ENGINEERING","2095-8099"
"237","EXPERIMENTAL_AND_MOLECULAR_MEDICINE","1226-3613"
"238","BLOOD_CANCER_JOURNAL","2044-5385"
"239","CLINICAL_PSYCHOLOGY_REVIEW","0272-7358"
"240","ENERGY_ECONOMICS","0140-9883"
"241","AMERICAN_JOURNAL_OF_HEMATOLOGY","0361-8609"
"242","JOURNAL_OF_AUTOIMMUNITY","0896-8411"
"243","WATER_RESEARCH","0043-1354"
"244","BIOCHAR","2524-7972"
"245","BONE_RESEARCH","2095-4700"
"246","SMALL_SCIENCE","2688-4046"
"247","AMERICAN_JOURNAL_OF_PUBLIC_HEALTH","0090-0036"
"248","TOURISM_MANAGEMENT","0261-5177"
"249","ACTA_NEUROPATHOLOGICA","0001-6322"
"250","ENVIRONMENTAL_SCIENCE_AND_ECOTECHNOLOGY","2666-4984"
"251","TRANSLATIONAL_NEURODEGENERATION","2047-9158"
"252","JOURNAL_OF_ECONOMIC_LITERATURE","0022-0515"
"253","PERSPECTIVES_ON_PSYCHOLOGICAL_SCIENCE","1745-6916"
"254","CLINICAL_GASTROENTEROLOGY_AND_HEPATOLOGY","1542-3565"
"255","CRITICAL_REVIEWS_IN_ENVIRONMENTAL_SCIENCE_AND_TECHNOLOGY","1064-3389"
"256","PHYSICAL_REVIEW_X","2160-3308"
"257","JOURNAL_OF_HOSPITALITY_MARKETING_&_MANAGEMENT","1936-8623"
"258","ANNUAL_REVIEW_OF_PHARMACOLOGY_AND_TOXICOLOGY","0362-1642"
"259","THERANOSTICS","1838-7640"
"260","JOURNAL_OF_SERVICE_RESEARCH","1094-6705"
"261","ALLERGY","0105-4538"
"262","ANNUAL_REVIEW_OF_BIOPHYSICS","1936-122X"
"263","ANNUAL_REVIEW_OF_FOOD_SCIENCE_AND_TECHNOLOGY","1941-1413"
"264","CELL_DEATH_AND_DIFFERENTIATION","1350-9047"
"265","MOLECULAR_THERAPY","1525-0016"
"266","SMALL_METHODS","2366-9608"
"267","GENOME_BIOLOGY","1474-760X"
"268","GENOME_MEDICINE","1756-994X"
"269","IEEE_TRANSACTIONS_ON_INDUSTRIAL_INFORMATICS","1551-3203"
"270","JOURNAL_OF_SPORT_AND_HEALTH_SCIENCE","2095-2546"
"271","GUT_MICROBES","1949-0976"
"272","SUSTAINABLE_PRODUCTION_AND_CONSUMPTION","2352-5509"
"273","EARTH-SCIENCE_REVIEWS","0012-8252"
"274","TRAVEL_MEDICINE_AND_INFECTIOUS_DISEASE","1477-8939"
"275","TECHNOLOGICAL_FORECASTING_AND_SOCIAL_CHANGE","0040-1625"
"276","ARTIFICIAL_INTELLIGENCE_REVIEW","0269-2821"
"277","INTERNATIONAL_JOURNAL_OF_PRODUCTION_ECONOMICS","0925-5273"
"278","PLANT_CELL","1040-4651"
"279","PROGRESS_IN_SOLID_STATE_CHEMISTRY","0079-6786"
"280","GENERAL_PSYCHIATRY","2096-5923"
"281","ETRANSPORTATION","2590-1168"
"282","IEEE_TRANSACTIONS_ON_FUZZY_SYSTEMS","1063-6706"
"283","JOURNAL_OF_MATERIALS_CHEMISTRY_A","2050-7488"
"284","NATURAL_PRODUCT_REPORTS","0265-0568"
"285","PSYCHIATRY_AND_CLINICAL_NEUROSCIENCES","1323-1316"
"286","EMERGING_INFECTIOUS_DISEASES","1080-6040"
"287","ENVIRONMENT_INTERNATIONAL","0160-4120"
"288","JOURNAL_OF_INTERACTIVE_MARKETING","1094-9968"
"289","ANNUAL_REVIEW_OF_ECOLOGY_EVOLUTION_AND_SYSTEMATICS","1543-592X"
"290","CANCER_TREATMENT_REVIEWS","0305-7372"
"291","CLINICAL_INFECTIOUS_DISEASES","1058-4838"
"292","DEVELOPMENTAL_CELL","1534-5807"
"293","IEEE-CAA_JOURNAL_OF_AUTOMATICA_SINICA","2329-9266"
"294","IEEE_TRANSACTIONS_ON_CYBERNETICS","2168-2267"
"295","NANO_CONVERGENCE","2196-5404"
"296","EDUCATIONAL_RESEARCH_REVIEW","1747-938X"
"297","INTERNATIONAL_JOURNAL_OF_HOSPITALITY_MANAGEMENT","0278-4319"
"298","PROGRESS_IN_QUANTUM_ELECTRONICS","0079-6727"
"299","PULMONOLOGY","2531-0437"
"300","JOURNAL_OF_INTERNATIONAL_BUSINESS_STUDIES","0047-2506"
"301","JAMA_HEALTH_FORUM","2689-0186"
"302","CLINICAL_CANCER_RESEARCH","1078-0432"
"303","DRUGS","0012-6667"
"304","MATERIALS_TODAY_PHYSICS","2542-5293"
"305","EARTH_SYSTEM_SCIENCE_DATA","1866-3508"
"306","EMBO_JOURNAL","0261-4189"
"307","REDOX_BIOLOGY","2213-2317"
"308","HUMAN_RESOURCE_MANAGEMENT_REVIEW","1053-4822"
"309","CEMENT_AND_CONCRETE_RESEARCH","0008-8846"
"310","ENVIRONMENTAL_SCIENCE_&_TECHNOLOGY","0013-936X"
"311","JOURNAL_OF_INTEGRATIVE_PLANT_BIOLOGY","1672-9072"
"312","LEUKEMIA","0887-6924"
"313","MEDICAL_JOURNAL_OF_AUSTRALIA","0025-729X"
"314","TRENDS_IN_GENETICS","0168-9525"
"315","WILEY_INTERDISCIPLINARY_REVIEWS-COMPUTATIONAL_MOLECULAR_SCIENCE","1759-0876"
"316","BLOOD_CANCER_DISCOVERY","2643-3230"
"317","BIOMATERIALS_RESEARCH","1226-4601"
"318","JOURNAL_OF_BUSINESS_RESEARCH","0148-2963"
"319","PSYCHIATRY_RESEARCH","0165-1781"
"320","ANNUAL_REVIEW_OF_CELL_AND_DEVELOPMENTAL_BIOLOGY","1081-0706"
"321","ANNUAL_REVIEW_OF_VIROLOGY","2327-056X"
"322","FEMS_MICROBIOLOGY_REVIEWS","0168-6445"
"323","JACC-CARDIOVASCULAR_INTERVENTIONS","1936-8798"
"324","REVIEW_OF_CORPORATE_FINANCE_STUDIES","2046-9128"
"325","REVIEW_OF_EDUCATIONAL_RESEARCH","0034-6543"
"326","ANNALS_OF_NEUROLOGY","0364-5134"
"327","APPLIED_ENERGY","0306-2619"
"328","BIOCHIMICA_ET_BIOPHYSICA_ACTA-REVIEWS_ON_CANCER","0304-419X"
"329","CANCER_RESEARCH","0008-5472"
"330","CARBOHYDRATE_POLYMERS","0144-8617"
"331","IEEE_COMMUNICATIONS_MAGAZINE","0163-6804"
"332","IEEE_TRANSACTIONS_ON_AFFECTIVE_COMPUTING","1949-3045"
"333","TRENDS_IN_ENVIRONMENTAL_ANALYTICAL_CHEMISTRY","2214-1588"
"334","BULLETIN_OF_THE_WORLD_HEALTH_ORGANIZATION","0042-9686"
"335","EMBO_MOLECULAR_MEDICINE","1757-4676"
"336","EBIOMEDICINE","2352-3964"
"337","JACC:_CARDIOONCOLOGY","2666-0873"
"338","INTERNATIONAL_JOURNAL_OF_CONTEMPORARY_HOSPITALITY_MANAGEMENT","0959-6119"
"339","JOURNAL_OF_VOCATIONAL_BEHAVIOR","0001-8791"
"340","ANNUAL_REVIEW_OF_GENETICS","0066-4197"
"341","JOURNAL_OF_CLEANER_PRODUCTION","0959-6526"
"342","JOURNAL_OF_INTERNAL_MEDICINE","0954-6820"
"343","JOURNAL_OF_NEUROLOGY_NEUROSURGERY_AND_PSYCHIATRY","0022-3050"
"344","PROCEEDINGS_OF_THE_NATIONAL_ACADEMY_OF_SCIENCES_OF_THE_UNITED_STATES_OF_AMERICA","0027-8424"
"345","REVIEWS_IN_MEDICAL_VIROLOGY","1052-9276"
"346","JOURNAL_OF_BIOMEDICAL_SCIENCE","1021-7770"
"347","PROTECTION_AND_CONTROL_OF_MODERN_POWER_SYSTEMS","2367-2617"
"348","RESEARCH","2096-5168"
"349","ADDITIVE_MANUFACTURING","2214-8604"
"350","CURRENT_OPINION_IN_SOLID_STATE_&_MATERIALS_SCIENCE","1359-0286"
"351","ISME_JOURNAL","1751-7362"
"352","LASER_&_PHOTONICS_REVIEWS","1863-8880"
"353","MOLECULAR_PSYCHIATRY","1359-4184"
"354","ACTA_PHYSICO-CHIMICA_SINICA","1000-6818"
"355","CARBON","0008-6223"
"356","CARDIOVASCULAR_RESEARCH","0008-6363"
"357","CATALYSIS_REVIEWS-SCIENCE_AND_ENGINEERING","0161-4940"
"358","ENVIRONMENTAL_SCIENCE_&_TECHNOLOGY_LETTERS","2328-8930"
"359","JAMA_DERMATOLOGY","2168-6068"
"360","JOURNAL_OF_MATERIALS_SCIENCE_&_TECHNOLOGY","1005-0302"
"361","MEDICAL_IMAGE_ANALYSIS","1361-8415"
"362","TRENDS_IN_ENDOCRINOLOGY_AND_METABOLISM","1043-2760"
"363","CRITICAL_REVIEWS_IN_SOLID_STATE_AND_MATERIALS_SCIENCES","1040-8436"
"364","INTERNATIONAL_JOURNAL_OF_ANTIMICROBIAL_AGENTS","0924-8579"
"365","JOURNAL_OF_CONTROLLED_RELEASE","0168-3659"
"366","NANO_LETTERS","1530-6984"
"367","CHEM_CATALYSIS","2667-1093"
"368","JOURNAL_OF_ADVANCED_RESEARCH","2090-1232"
"369","MOLECULAR_BIOLOGY_AND_EVOLUTION","0737-4038"
"370","AMERICAN_ECONOMIC_REVIEW","0002-8282"
"371","FOOD_HYDROCOLLOIDS","0268-005X"
"372","VIRTUAL_AND_PHYSICAL_PROTOTYPING","1745-2759"
"373","CLINICAL_AND_TRANSLATIONAL_MEDICINE","2001-1326"
"374","JOURNAL_OF_SERVICE_MANAGEMENT","1757-5818"
"375","JOURNAL_OF_SUPPLY_CHAIN_MANAGEMENT","1523-2409"
"376","TRANSPORTATION_RESEARCH_PART_E-LOGISTICS_AND_TRANSPORTATION_REVIEW","1366-5545"
"377","BIOLOGICAL_PSYCHIATRY","0006-3223"
"378","CLINICAL_NUCLEAR_MEDICINE","0363-9762"
"379","IEEE_INTERNET_OF_THINGS_JOURNAL","2327-4662"
"380","IEEE_TRANSACTIONS_ON_IMAGE_PROCESSING","1057-7149"
"381","IEEE_TRANSACTIONS_ON_MEDICAL_IMAGING","0278-0062"
"382","MOLECULAR_ASPECTS_OF_MEDICINE","0098-2997"
"383","ENVIRONMENTAL_HEALTH_PERSPECTIVES","0091-6765"
"384","PLANT_COMMUNICATIONS","2590-3462"
"385","ACADEMY_OF_MANAGEMENT_JOURNAL","0001-4273"
"386","BRITISH_JOURNAL_OF_PSYCHIATRY","0007-1250"
"387","ENTREPRENEURSHIP_THEORY_AND_PRACTICE","1042-2587"
"388","JOURNAL_OF_MANAGEMENT_STUDIES","0022-2380"
"389","JOURNAL_OF_PRODUCT_INNOVATION_MANAGEMENT","0737-6782"
"390","ANNUAL_REVIEW_OF_MEDICINE","0066-4219"
"391","ANNUAL_REVIEW_OF_MICROBIOLOGY","0066-4227"
"392","CEMENT_&_CONCRETE_COMPOSITES","0958-9465"
"393","GENES_&_DEVELOPMENT","0890-9369"
"394","SLEEP_MEDICINE_REVIEWS","1087-0792"
"395","OPTICA","2334-2536"
"396","ADMINISTRATIVE_SCIENCE_QUARTERLY","0001-8392"
"397","FINANCE_RESEARCH_LETTERS","1544-6123"
"398","JOURNAL_OF_RETAILING_AND_CONSUMER_SERVICES","0969-6989"
"399","ENERGY_CONVERSION_AND_MANAGEMENT","0196-8904"
"400","FOUNDATIONS_AND_TRENDS_IN_INFORMATION_RETRIEVAL","1554-0669"
"401","IEEE_TRANSACTIONS_ON_NEURAL_NETWORKS_AND_LEARNING_SYSTEMS","2162-237X"
"402","IEEE_TRANSACTIONS_ON_WIRELESS_COMMUNICATIONS","1536-1276"
"403","JOURNAL_OF_THROMBOSIS_AND_HAEMOSTASIS","1538-7933"
"404","REVIEWS_IN_AQUACULTURE","1753-5123"
"405","ROBOTICS_AND_COMPUTER-INTEGRATED_MANUFACTURING","0736-5845"
"406","INDUSTRIAL_MARKETING_MANAGEMENT","0019-8501"
"407","JOURNAL_OF_ANXIETY_DISORDERS","0887-6185"
"408","JOURNAL_OF_BUSINESS_LOGISTICS","0735-3766"
"409","AUTOMATION_IN_CONSTRUCTION","0926-5805"
"410","BRITISH_JOURNAL_OF_DERMATOLOGY","0007-0963"
"411","FRONTIERS_IN_ECOLOGY_AND_THE_ENVIRONMENT","1540-9295"
"412","JNCI-JOURNAL_OF_THE_NATIONAL_CANCER_INSTITUTE","0027-8874"
"413","JOURNAL_OF_PINEAL_RESEARCH","0742-3098"
"414","MATERIALS_TODAY_NANO","2588-8420"
"415","SPACE_SCIENCE_REVIEWS","0038-6308"
"416","ASIAN_JOURNAL_OF_PHARMACEUTICAL_SCIENCES","1818-0876"
"417","RESOURCES_POLICY","0301-4207"
"418","AMERICAN_JOURNAL_OF_GASTROENTEROLOGY","0002-9270"
"419","ANNUAL_REVIEW_OF_PHYTOPATHOLOGY","0066-4286"
