sample,pub_model,consid_status,journal_super_category,journal_category,impact_factor,if_quartile,business_model,model_reported,language,hq_region,challenge_a,challenge_b,challenge_c,challenge_d,challenge_e,challenge_f,benefit_a,benefit_b,benefit_c,benefit_d,benefit_e
analytical,Single blind,Not considered,Life Sciences,Biology & Biochemistry,5.1,Q3,non-profit,Yes,English only,Europe (other),0,0,0,0,0,0,0,0,0,0,0
analytical,Single blind,Not considered,Life Sciences,Biology & Biochemistry,3.7,Q3,non-profit,Yes,English only,USA,0,1,0,0,0,0,0,0,0,0,0
analytical,Single blind,Not considered,Life Sciences,Biology & Biochemistry,0.6,Q1 (lowest),non-profit,Yes,Multilingual/Other,Other,1,1,1,1,1,0,0,0,0,0,0
analytical,Single blind,Not considered,Physical Sciences,Mathematics,NA,NA,for-profit,Yes,NA,NA,0,0,0,1,1,1,0,0,0,0,0
analytical,Single blind,Considered,Physical Sciences,Physics,5.4,Q4 (highest),non-profit,No,English only,Europe (other),1,0,1,1,0,1,1,1,0,0,0
analytical,Single blind,Not considered,Life Sciences,Biology & Biochemistry,2,Q2,non-profit,Yes,English only,Asia-Pacific,0,0,0,0,0,1,1,1,0,0,0
analytical,Single blind,Not considered,Clinical Pre-Clinical & Health,Clinical Medicine,NA,NA,for-profit,Yes,NA,NA,0,1,0,1,0,0,1,1,0,0,0
analytical,Single blind,Not considered,Clinical Pre-Clinical & Health,Clinical Medicine,2.6,Q3,for-profit,Yes,English only,Europe (other),1,0,1,1,0,1,0,0,0,0,0
analytical,Single blind,Not considered,Engineering & Technology,Engineering,6.5,Q4 (highest),non-profit,Yes,English only,USA,0,0,1,1,0,1,0,1,0,0,0
analytical,Single blind,Not considered,Life Sciences,Biology & Biochemistry,4.3,Q3,for-profit,Yes,English only,Europe (other),1,1,1,0,0,0,1,1,0,0,0
analytical,Single blind,Considered,Life Sciences,Biology & Biochemistry,1.8,Q2,non-profit,No,English only,UK,1,0,0,0,1,1,0,1,1,1,0
analytical,Single blind,Considered,Clinical Pre-Clinical & Health,Clinical Medicine,7.3,Q4 (highest),for-profit,Yes,English only,USA,1,1,0,0,1,0,1,1,1,1,1
analytical,Single blind,Not considered,Engineering & Technology,Engineering,3.3,Q3,for-profit,Yes,English only,UK,0,0,1,0,0,1,0,0,1,1,0
analytical,Single blind,Not considered,Physical Sciences,Physics,1.3,Q2,for-profit,Yes,English only,Europe (other),0,0,1,1,0,1,1,1,1,1,0
analytical,Single blind,Considered,Life Sciences,Biology & Biochemistry,2.2,Q3,for-profit,Yes,English only,UK,1,1,1,1,1,1,0,0,0,0,0
analytical,Single blind,Not considered,Engineering & Technology,Computer Science,NA,NA,non-profit,Yes,English only,Europe (other),0,1,1,1,0,0,1,1,0,1,0
analytical,Single blind,Not considered,Engineering & Technology,Engineering,3.7,Q3,for-profit,No,English only,UK,1,1,1,1,1,1,1,1,0,0,1
analytical,Single blind,Not considered,Life Sciences,Plant & Animal Science,3,Q3,non-profit,Yes,English only,UK,1,1,1,1,1,1,1,0,0,0,0
analytical,Single blind,Not considered,Physical Sciences,Mathematics,NA,NA,non-profit,Yes,NA,NA,0,0,1,1,0,0,1,1,1,1,1
analytical,Single blind,Not considered,Engineering & Technology,Computer Science,17,Q4 (highest),non-profit,No,English only,Asia-Pacific,1,1,1,1,0,0,0,0,0,0,0
analytical,Single blind,Not considered,Social Sciences,Economics & Business,2.8,Q3,for-profit,Yes,English only,UK,0,0,1,1,0,0,1,1,1,1,1
analytical,Single blind,Not considered,Physical Sciences,Chemistry,NA,NA,for-profit,No,NA,NA,0,0,0,0,0,0,0,0,0,0,0
analytical,Single blind,Not considered,Physical Sciences,Mathematics,NA,NA,non-profit,Yes,English only,Europe (other),0,0,0,0,0,0,0,0,0,0,0
analytical,Single blind,Considered,Engineering & Technology,Materials Science,2.7,Q3,for-profit,Yes,English only,Europe (other),0,0,0,1,1,0,1,0,0,0,0
analytical,Single blind,Considered,Life Sciences,Biology & Biochemistry,NA,NA,for-profit,Yes,NA,NA,0,0,0,0,0,0,0,0,0,0,0
analytical,Single blind,Not considered,Engineering & Technology,Engineering,1.3,Q2,non-profit,Yes,English only,Europe (other),0,1,1,1,0,1,0,0,0,0,0
analytical,Single blind,Considered,Life Sciences,Biology & Biochemistry,14.6,Q4 (highest),for-profit,Yes,English only,UK,1,0,0,1,1,0,1,1,1,1,1
analytical,Single blind,Considered,Clinical Pre-Clinical & Health,Clinical Medicine,NA,NA,for-profit,Yes,NA,NA,1,1,1,1,0,0,1,1,1,1,0
analytical,Single blind,Not considered,Clinical Pre-Clinical & Health,Clinical Medicine,2.6,Q3,for-profit,Yes,English only,UK,1,1,1,1,1,1,0,0,0,0,0
analytical,Single blind,Not considered,Life Sciences,Plant & Animal Science,2.6,Q3,for-profit,Yes,English only,Europe (other),0,0,0,0,0,0,0,0,0,0,0
analytical,Single blind,Not considered,Engineering & Technology,Engineering,10.9,Q4 (highest),non-profit,Yes,English only,USA,1,1,1,1,1,1,1,1,0,1,1
analytical,Single blind,Considered,Not indicated,NA,10,Q4 (highest),non-profit,Yes,English only,USA,1,1,1,1,0,0,0,1,0,0,0
analytical,Single blind,Not considered,Clinical Pre-Clinical & Health,Clinical Medicine,10.1,Q4 (highest),for-profit,No,English only,USA,0,1,1,1,0,1,0,0,0,0,0
analytical,Single blind,Not considered,Physical Sciences,Physics,1.8,Q2,non-profit,Yes,English only,USA,1,1,1,0,0,0,0,1,0,1,0
analytical,Single blind,Not considered,Life Sciences,Biology & Biochemistry,8.7,Q4 (highest),for-profit,Yes,English only,Europe (other),0,0,1,1,0,1,0,1,0,1,0
analytical,Single blind,Not considered,Clinical Pre-Clinical & Health,Clinical Medicine,9.6,Q4 (highest),for-profit,Yes,English only,Europe (other),0,0,1,0,0,0,1,0,0,0,0
analytical,Single blind,Not considered,Clinical Pre-Clinical & Health,Clinical Medicine,NA,NA,non-profit,No,NA,NA,0,0,0,0,0,0,0,0,0,0,0
analytical,Single blind,NA,Physical Sciences,Geosciences,NA,NA,for-profit,Yes,NA,NA,0,0,0,0,0,0,0,0,0,0,0
analytical,Single blind,Not considered,Multidisciplinary,Multidisciplinary,NA,NA,non-profit,Yes,NA,NA,0,1,1,1,0,0,0,0,0,0,0
analytical,Single blind,Not considered,Physical Sciences,Mathematics,NA,NA,non-profit,Yes,NA,NA,0,0,1,1,1,1,0,0,0,0,0
analytical,Single blind,Not considered,Life Sciences,Plant & Animal Science,0.5,Q1 (lowest),non-profit,Yes,English only,Europe (other),0,1,1,0,1,0,0,0,0,0,0
analytical,Single blind,Not considered,Physical Sciences,Geosciences,5.4,Q4 (highest),non-profit,Yes,English only,Europe (other),0,0,0,0,0,0,1,1,1,1,1
analytical,Single blind,Not considered,Physical Sciences,Chemistry,0.98,Q1 (lowest),non-profit,No,English only,Other,0,0,0,0,0,0,1,1,1,1,1
analytical,Single blind,Not considered,Life Sciences,Agricultural Sciences,5.6,Q4 (highest),for-profit,Yes,English only,Europe (other),0,0,0,1,0,1,0,1,0,0,1
analytical,Single blind,NA,Engineering & Technology,Materials Science,NA,NA,for-profit,Yes,NA,NA,0,0,0,0,0,0,0,0,0,0,0
analytical,Single blind,Considered,Multidisciplinary,Multidisciplinary,1.4,Q2,non-profit,Yes,English only,Europe (other),1,1,1,1,1,1,1,0,0,1,1
analytical,Single blind,Not considered,Physical Sciences,Physics,2.9,Q3,non-profit,Yes,English only,Europe (other),1,1,1,1,1,0,1,1,0,1,0
analytical,Single blind,Not considered,Physical Sciences,Geosciences,3,Q3,non-profit,Yes,English only,UK,0,0,1,1,0,1,0,0,0,0,0
analytical,Single blind,Not considered,Life Sciences,Biology & Biochemistry,3.1,Q3,for-profit,Yes,English only,UK,1,0,1,1,0,0,1,1,1,1,1
analytical,Single blind,Not considered,Physical Sciences,Mathematics,NA,NA,non-profit,Yes,NA,NA,0,0,0,0,0,0,0,0,0,0,0
analytical,Single blind,Not considered,Life Sciences,Environment/Ecology,2.1,Q2,non-profit,Yes,English only,Europe (other),0,1,0,0,0,0,0,1,0,0,0
analytical,Single blind,Not considered,Life Sciences,Plant & Animal Science,5.3,Q4 (highest),for-profit,Yes,English only,Europe (other),0,0,0,0,0,0,0,0,0,0,0
analytical,Single blind,Not considered,Life Sciences,Biology & Biochemistry,5.1,Q3,for-profit,Yes,English only,NA,1,1,1,1,1,1,1,1,1,1,1
analytical,Single blind,Not considered,Physical Sciences,Mathematics,NA,NA,for-profit,Yes,NA,NA,0,0,0,0,0,0,0,0,0,0,0
analytical,Single blind,Not considered,Social Sciences,Economics & Business,NA,NA,non-profit,Yes,NA,NA,0,0,1,0,0,0,0,0,0,0,0
analytical,Single blind,Not considered,Physical Sciences,Mathematics,0.5,Q1 (lowest),for-profit,No,NA,Europe (other),0,0,1,0,0,0,0,0,0,0,0
analytical,Single blind,Not considered,Life Sciences,Plant & Animal Science,NA,NA,non-profit,No,Multilingual/Other,UK,1,1,1,0,0,0,0,0,0,0,0
analytical,Single blind,Not considered,Engineering & Technology,Materials Science,8.19,Q4 (highest),for-profit,Yes,English only,Europe (other),0,1,0,1,1,1,1,0,0,0,0
analytical,Single blind,Not considered,Engineering & Technology,Materials Science,1.4,Q2,non-profit,Yes,English only,USA,1,1,1,1,0,1,0,0,0,0,0
analytical,Single blind,Considered,Not indicated,NA,0.6,Q1 (lowest),non-profit,Yes,Multilingual/Other,NA,0,1,0,0,0,1,0,0,0,0,0
analytical,Single blind,Not considered,Engineering & Technology,Engineering,1,Q1 (lowest),for-profit,Yes,Multilingual/Other,Europe (other),1,1,1,1,1,1,1,1,0,0,0
analytical,Single blind,Not considered,Physical Sciences,Mathematics,0.5,Q1 (lowest),non-profit,Yes,English only,USA,0,0,1,0,1,0,0,0,0,0,0
analytical,Single blind,Not considered,Life Sciences,Plant & Animal Science,10,Q4 (highest),non-profit,Yes,English only,USA,0,0,1,1,1,1,0,0,0,0,0
analytical,Single blind,Not considered,Physical Sciences,Physics,6.8,Q4 (highest),non-profit,Yes,English only,Europe (other),0,0,1,1,1,1,0,1,0,0,0
analytical,Single blind,Not considered,Life Sciences,Biology & Biochemistry,2.8,Q3,for-profit,No,English only,Europe (other),1,1,1,1,1,1,0,0,0,0,0
analytical,Single blind,Considered,Multidisciplinary,Multidisciplinary,7.3,Q4 (highest),for-profit,Yes,English only,USA,0,1,0,0,1,1,0,0,0,0,1
analytical,Single blind,Not considered,Physical Sciences,Mathematics,1.6,Q2,non-profit,Yes,English only,NA,0,0,1,0,0,0,0,0,0,0,0
analytical,Single blind,Not considered,Physical Sciences,Physics,3.2,Q3,for-profit,Yes,English only,Europe (other),0,1,0,1,0,0,0,1,1,1,0
analytical,Single blind,Not considered,Engineering & Technology,Engineering,7.97,Q4 (highest),for-profit,Yes,English only,UK,0,0,0,0,0,0,0,0,0,0,0
analytical,Single blind,Not considered,Physical Sciences,Mathematics,1.4,Q2,for-profit,Yes,English only,USA,1,1,1,1,1,1,0,0,0,0,0
analytical,Single blind,Considered,Life Sciences,Plant & Animal Science,0.6,Q1 (lowest),non-profit,Yes,Multilingual/Other,Other,0,1,1,1,0,0,1,1,0,0,0
analytical,Single blind,Not considered,Not indicated,NA,NA,NA,for-profit,Yes,NA,NA,0,0,0,0,0,0,0,0,0,0,0
analytical,Single blind,Not considered,Clinical Pre-Clinical & Health,Clinical Medicine,3.69,Q3,non-profit,No,English only,Europe (other),0,1,1,1,1,0,0,0,0,0,0
analytical,Single blind,Not considered,Engineering & Technology,Materials Science,2.6,Q3,non-profit,Yes,English only,USA,0,0,1,1,0,1,0,1,0,1,0
analytical,Single blind,Not considered,Life Sciences,Environment/Ecology,5.1,Q3,non-profit,No,English only,Europe (other),0,0,0,0,0,0,0,0,0,0,0
analytical,Single blind,Not considered,Engineering & Technology,Engineering,1.6,Q2,non-profit,Yes,English only,Europe (other),1,1,1,0,0,1,1,1,0,1,0
analytical,Single blind,Not considered,Physical Sciences,Chemistry,0.4,Q1 (lowest),non-profit,Yes,English only,Asia-Pacific,0,1,1,0,0,1,1,0,0,1,0
analytical,Single blind,Not considered,Life Sciences,Environment/Ecology,1.4,Q2,for-profit,Yes,English only,UK,0,0,0,0,0,0,0,0,0,0,0
analytical,Single blind,Considered,Life Sciences,Plant & Animal Science,2.2,Q3,for-profit,Yes,English only,UK,1,0,1,0,0,1,0,0,0,0,0
analytical,Single blind,Not considered,Physical Sciences,Physics,NA,NA,non-profit,Yes,English only,Europe (other),1,1,1,1,1,1,0,0,0,0,0
analytical,Single blind,Not considered,Physical Sciences,Chemistry,0.7,Q1 (lowest),non-profit,Yes,English only,Other,0,0,0,1,0,0,0,0,0,0,0
analytical,Single blind,Not considered,Clinical Pre-Clinical & Health,Clinical Medicine,3.16,Q3,non-profit,Yes,English only,Asia-Pacific,1,1,0,0,1,0,0,0,0,0,0
analytical,Single blind,Not considered,Physical Sciences,Physics,1.6,Q2,for-profit,Yes,English only,NA,0,0,1,0,1,0,0,0,0,0,0
analytical,Single blind,Not considered,Engineering & Technology,Engineering,2.5,Q3,for-profit,Yes,English only,NA,1,0,1,0,0,0,0,0,0,0,0
analytical,Single blind,Considered,Multidisciplinary,Multidisciplinary,6.8,Q4 (highest),for-profit,Yes,English only,USA,0,1,1,1,0,1,0,1,0,0,0
analytical,Single blind,Not considered,Physical Sciences,Mathematics,0.32,Q1 (lowest),for-profit,Yes,English only,Europe (other),1,1,1,1,1,1,0,0,0,0,0
analytical,Single blind,Considered,Clinical Pre-Clinical & Health,Clinical Medicine,1.8,Q2,for-profit,Yes,English only,USA,0,1,0,1,0,1,1,1,0,1,0
analytical,Single blind,Not considered,Life Sciences,Biology & Biochemistry,NA,NA,for-profit,No,English only,Asia-Pacific,0,1,0,0,1,0,0,0,0,0,0
analytical,Single blind,Considered,Engineering & Technology,Materials Science,NA,NA,for-profit,Yes,NA,NA,0,0,0,0,0,0,0,0,0,0,0
analytical,Single blind,Not considered,Engineering & Technology,Engineering,NA,NA,for-profit,Yes,NA,NA,0,0,0,0,0,0,0,0,0,0,0
analytical,Single blind,Considered,Engineering & Technology,Engineering,NA,NA,non-profit,Yes,NA,NA,0,0,0,0,0,0,0,0,0,0,0
analytical,Single blind,Not considered,Multidisciplinary,Multidisciplinary,3.3,Q3,for-profit,Yes,English only,USA,0,0,0,0,0,0,1,1,0,0,1
analytical,Single blind,Considered,Clinical Pre-Clinical & Health,Psychiatry/Psychology,1.88,Q2,for-profit,Yes,English only,UK,1,1,1,1,1,0,1,1,0,1,0
analytical,Single blind,Not considered,Clinical Pre-Clinical & Health,Psychiatry/Psychology,1.8,Q2,for-profit,Yes,English only,Europe (other),0,0,1,0,0,0,0,0,0,0,0
analytical,Single blind,Considered,Life Sciences,Environment/Ecology,NA,NA,non-profit,No,NA,NA,0,0,0,0,0,0,0,0,0,0,0
analytical,Single blind,Not considered,Not indicated,NA,3.5,Q3,for-profit,Yes,English only,UK,1,1,1,1,1,1,0,1,0,0,0
analytical,Single blind,Not considered,Engineering & Technology,Materials Science,2.5,Q3,for-profit,Yes,English only,USA,1,1,1,1,0,1,0,0,0,0,0
analytical,Single blind,Considered,Life Sciences,Biology & Biochemistry,1,Q1 (lowest),non-profit,Yes,English only,Europe (other),1,1,1,1,1,1,0,0,0,0,0
analytical,Single blind,Not considered,Physical Sciences,Mathematics,NA,NA,for-profit,Yes,NA,NA,0,0,0,0,0,0,0,0,0,0,0
analytical,Single blind,Considered,Life Sciences,Agricultural Sciences,NA,NA,non-profit,Yes,English only,USA,0,0,0,0,0,1,1,1,0,1,0
analytical,Single blind,Considered,Clinical Pre-Clinical & Health,Clinical Medicine,NA,NA,for-profit,No,NA,NA,1,1,1,1,0,0,0,0,0,0,0
analytical,Single blind,Not considered,Physical Sciences,Physics,1.5,Q2,non-profit,Yes,English only,Europe (other),0,0,0,0,1,0,0,0,0,0,0
analytical,Single blind,Not considered,Multidisciplinary,Multidisciplinary,1.48,Q2,non-profit,No,English only,Other,1,1,1,1,0,0,0,1,1,1,0
analytical,Single blind,Not considered,Physical Sciences,Mathematics,1.11,Q2,non-profit,Yes,English only,Europe (other),1,1,1,1,1,1,0,0,0,0,0
analytical,Single blind,Considered,Life Sciences,Plant & Animal Science,6.2,Q4 (highest),for-profit,Yes,English only,UK,1,1,1,0,0,0,0,0,0,0,0
analytical,Single blind,Not considered,Physical Sciences,Physics,1.3,Q2,for-profit,Yes,English only,Europe (other),0,0,1,1,0,1,1,1,1,1,0
analytical,Single blind,Not considered,Engineering & Technology,Engineering,NA,NA,non-profit,Yes,NA,NA,0,0,1,0,0,0,0,1,0,0,0
analytical,Single blind,Considered,Physical Sciences,Mathematics,NA,NA,for-profit,Yes,NA,NA,0,0,0,0,0,0,0,0,0,0,0
analytical,Single blind,Not considered,Life Sciences,Environment/Ecology,11.1,Q4 (highest),for-profit,Yes,English only,USA,0,1,1,1,0,1,1,1,0,0,1
analytical,Single blind,Not considered,Physical Sciences,Geosciences,7.9,Q4 (highest),non-profit,Yes,English only,Europe (other),0,1,1,1,1,0,0,1,0,1,0
analytical,Single blind,Considered,Social Sciences,Economics & Business,NA,NA,non-profit,Yes,NA,NA,0,0,1,1,0,0,0,0,0,0,0
analytical,Single blind,Not considered,Life Sciences,Biology & Biochemistry,2.7,Q3,for-profit,No,English only,USA,0,1,1,0,1,1,0,0,0,0,0
analytical,Single blind,Not considered,Clinical Pre-Clinical & Health,Clinical Medicine,2.8,Q3,non-profit,No,English only,USA,1,1,1,1,1,1,0,0,0,0,0
analytical,Single blind,Not considered,Physical Sciences,Geosciences,2.4,Q3,for-profit,Yes,English only,USA,0,0,0,0,0,1,1,0,0,0,0
analytical,Single blind,Not considered,Life Sciences,Environment/Ecology,NA,NA,non-profit,Yes,NA,NA,0,0,0,0,0,0,0,0,0,0,0
analytical,Single blind,Not considered,Physical Sciences,Physics,1.8,Q2,non-profit,Yes,English only,USA,0,1,1,0,0,1,1,1,0,1,0
analytical,Single blind,Considered,Social Sciences,Economics & Business,10.5,Q4 (highest),non-profit,Yes,English only,USA,1,1,1,1,0,0,1,1,1,1,0
analytical,Single blind,Considered,Physical Sciences,Chemistry,13.2,Q4 (highest),for-profit,Yes,English only,Asia-Pacific,0,0,1,1,1,1,0,0,0,0,0
analytical,Single blind,Not considered,Multidisciplinary,Multidisciplinary,NA,NA,non-profit,Yes,English only,NA,0,0,1,0,0,0,0,0,0,0,0
analytical,Single blind,Considered,Clinical Pre-Clinical & Health,Clinical Medicine,NA,NA,non-profit,Yes,NA,NA,1,1,1,1,1,1,0,0,0,0,0
analytical,Single blind,Not considered,Clinical Pre-Clinical & Health,Clinical Medicine,NA,NA,non-profit,No,NA,NA,0,0,0,0,0,0,0,0,0,0,0
analytical,Single blind,Not considered,Clinical Pre-Clinical & Health,Clinical Medicine,24.8,Q4 (highest),for-profit,Yes,English only,UK,1,1,1,0,0,1,0,0,0,0,0
analytical,Single blind,Considered,Physical Sciences,Physics,12,Q4 (highest),non-profit,Yes,English only,USA,0,0,1,1,1,1,1,1,0,1,0
analytical,Single blind,Not considered,Physical Sciences,Physics,NA,NA,non-profit,Yes,NA,NA,0,0,0,0,0,0,0,0,0,0,0
analytical,Single blind,Not considered,Multidisciplinary,Multidisciplinary,5,Q3,non-profit,Yes,English only,NA,1,0,0,1,0,1,1,1,0,0,0
analytical,Single blind,Considered,Life Sciences,Environment/Ecology,NA,NA,for-profit,Yes,NA,NA,0,0,0,0,0,0,0,0,0,0,0
analytical,Single blind,Not considered,Physical Sciences,Physics,13.8,Q4 (highest),non-profit,Yes,English only,UK,0,0,1,0,0,0,0,1,0,1,0
analytical,Single blind,Considered,Clinical Pre-Clinical & Health,Clinical Medicine,31,Q4 (highest),for-profit,Yes,English only,UK,0,0,1,0,0,1,1,0,0,1,0
analytical,Single blind,Not considered,Clinical Pre-Clinical & Health,Psychiatry/Psychology,7.5,Q4 (highest),for-profit,Yes,English only,UK,1,1,1,1,0,1,1,1,0,0,0
analytical,Single blind,Not considered,Life Sciences,Environment/Ecology,3.8,Q3,non-profit,No,English only,Asia-Pacific,0,0,0,0,0,0,0,0,0,0,0
analytical,Single blind,Not considered,Not indicated,NA,1.4,Q2,non-profit,Yes,English only,UK,1,1,1,1,0,1,0,1,0,0,1
analytical,Single blind,Not considered,Life Sciences,Agricultural Sciences,NA,NA,non-profit,Yes,NA,NA,0,0,0,0,0,0,0,0,0,0,0
analytical,Single blind,Not considered,Engineering & Technology,Engineering,40.1,Q4 (highest),for-profit,Yes,English only,UK,0,0,1,0,1,1,1,1,0,1,0
analytical,Single blind,Considered,Not indicated,NA,NA,NA,for-profit,Yes,NA,NA,0,0,1,1,0,1,1,1,0,0,0
analytical,Single blind,Not considered,Multidisciplinary,Multidisciplinary,13.6,Q4 (highest),for-profit,No,English only,Europe (other),1,1,1,1,1,1,0,0,0,1,0
analytical,Single blind,Not considered,Not indicated,NA,NA,NA,for-profit,Yes,NA,NA,0,0,0,0,0,0,0,0,0,0,0
analytical,Single blind,Not considered,Social Sciences,Economics & Business,3.9,Q3,for-profit,Yes,English only,UK,0,0,0,0,0,0,0,0,0,0,0
analytical,Single blind,Not considered,Life Sciences,Agricultural Sciences,NA,NA,non-profit,Yes,NA,NA,0,0,0,0,0,0,0,0,0,0,0
analytical,Single blind,Considered,Clinical Pre-Clinical & Health,Clinical Medicine,11,Q4 (highest),non-profit,Yes,English only,USA,1,1,1,1,1,1,0,1,0,0,0
analytical,Single blind,Not considered,Physical Sciences,Mathematics,NA,NA,for-profit,Yes,NA,NA,0,0,0,0,0,0,0,0,0,0,0
analytical,Single blind,Not considered,Engineering & Technology,Computer Science,12.2,Q4 (highest),non-profit,Yes,English only,USA,0,1,0,1,0,0,1,1,1,1,0
analytical,Single blind,Not considered,Arts & Humanities,History & Archaeology,2.8,Q3,for-profit,Yes,English only,UK,1,1,1,1,1,1,1,0,0,0,0
analytical,Single blind,Considered,Not indicated,NA,2.7,Q3,non-profit,Yes,English only,USA,1,1,1,0,1,1,0,0,0,0,0
analytical,Single blind,Considered,Physical Sciences,Physics,45,Q4 (highest),non-profit,Yes,English only,USA,0,0,1,0,1,0,0,0,0,1,0
analytical,Single blind,Not considered,Life Sciences,Agricultural Sciences,7.7,Q4 (highest),for-profit,Yes,English only,Europe (other),0,0,1,1,0,1,0,0,0,0,0
analytical,Double/triple blind,NA,Social Sciences,"Social Sciences, General",7.18,Q4 (highest),non-profit,Yes,English only,USA,1,1,0,0,0,0,1,0,0,0,0
analytical,Double/triple blind,NA,Arts & Humanities,"Arts & Humanities, Interdisciplinary",0.9,Q1 (lowest),non-profit,Yes,English only,UK,1,1,0,0,1,0,1,1,1,1,1
analytical,Double/triple blind,NA,Clinical Pre-Clinical & Health,Psychiatry/Psychology,1.4,Q2,for-profit,Yes,English only,USA,1,0,1,0,1,0,1,1,1,0,1
analytical,Double/triple blind,NA,Social Sciences,Economics & Business,2.8,Q3,non-profit,Yes,English only,Europe (other),0,0,1,0,0,0,1,0,0,0,0
analytical,Double/triple blind,NA,Arts & Humanities,"Arts & Humanities, Interdisciplinary",1.3,Q2,non-profit,Yes,English only,UK,0,0,1,0,0,0,1,0,1,0,1
analytical,Double/triple blind,NA,Arts & Humanities,Philosophy & Religion,0.6,Q1 (lowest),non-profit,Yes,English only,USA,1,1,0,0,0,0,1,1,1,1,1
analytical,Double/triple blind,NA,Arts & Humanities,"Arts & Humanities, Interdisciplinary",NA,NA,for-profit,No,NA,NA,0,0,0,0,0,0,0,0,0,0,0
analytical,Double/triple blind,NA,Not indicated,NA,0.69,Q1 (lowest),non-profit,Yes,English only,Asia-Pacific,0,1,0,0,0,0,1,0,0,0,0
analytical,Double/triple blind,NA,Social Sciences,Economics & Business,2.6,Q3,non-profit,Yes,English only,Asia-Pacific,0,0,0,0,0,0,1,0,0,0,0
analytical,Double/triple blind,NA,Engineering & Technology,Engineering,NA,NA,for-profit,Yes,English only,UK,0,1,1,0,0,1,1,1,0,0,1
analytical,Double/triple blind,NA,Physical Sciences,Geosciences,NA,NA,non-profit,Yes,NA,NA,0,0,0,0,0,0,0,0,0,0,0
analytical,Double/triple blind,NA,Arts & Humanities,"Arts & Humanities, Interdisciplinary",1.67,Q2,for-profit,Yes,Multilingual/Other,Europe (other),0,1,0,0,0,0,1,0,0,0,0
analytical,Double/triple blind,NA,Multidisciplinary,Multidisciplinary,0.9,Q1 (lowest),non-profit,Yes,English only,USA,1,1,0,1,0,0,1,1,1,1,0
analytical,Double/triple blind,NA,Clinical Pre-Clinical & Health,Clinical Medicine,2.7,Q3,for-profit,Yes,English only,USA,0,1,0,1,0,0,1,1,0,1,1
analytical,Double/triple blind,NA,Clinical Pre-Clinical & Health,Clinical Medicine,NA,NA,for-profit,Yes,NA,NA,0,0,0,0,0,0,0,0,0,0,0
analytical,Double/triple blind,NA,Life Sciences,Biology & Biochemistry,2,Q2,non-profit,Yes,English only,USA,1,1,1,0,0,0,1,1,1,1,0
analytical,Double/triple blind,NA,Life Sciences,Agricultural Sciences,0.7,Q1 (lowest),non-profit,Yes,English only,Europe (other),0,0,1,0,1,0,1,1,0,1,0
