ISSN	eISSN	publisher_country	model	weekstopub	APC	APC_amount	waiver
NA	2391-5439	Poland	Anonymous_peer_review	30	Yes	1000_EUR	Yes
1865-035X	1865-0368	Germany	Double_anonymous_peer_review	13	No	NA	No
NA	2502-471X	Indonesia	Anonymous_peer_review	4	Yes	250000_IDR	No
1978-4538	2527-421X	Indonesia	Peer_review	12	No	NA	No
1806-0269	1809-9386	Brazil	Anonymous_peer_review	4	No	NA	No
NA	2447-7982	Brazil	Double_anonymous_peer_review	20	No	NA	No
2322-2298	2345-4946	"Iran,_Islamic_Republic_of"	Double_anonymous_peer_review	12	No	NA	No
NA	2056-6395	United_Kingdom	Double_anonymous_peer_review	22	No	NA	No
1864-7782	1864-7790	Germany	Anonymous_peer_review	19	Yes	1550_EUR	Yes
1978-0044	2549-1040	Indonesia	Double_anonymous_peer_review	12	No	NA	No
2536-569X	2536-5703	Montenegro	Double_anonymous_peer_review	10	No	NA	No
NA	2530-4933	Spain	Double_anonymous_peer_review	10	No	NA	No
2087-9385	2528-696X	Indonesia	Peer_review	24	No	NA	No
NA	1605-4806	Ecuador	Peer_review	6	No	NA	No
1995-5472	2310-3787	Russian_Federation	Double_anonymous_peer_review	8	No	NA	No
1895-3735	2353-6977	Poland	Double_anonymous_peer_review	8	Yes	100_EUR	No
NA	1339-5629	Slovakia	Anonymous_peer_review	4	Yes	100_EUR	No
1735-4536	2588-4611	"Iran,_Islamic_Republic_of"	Double_anonymous_peer_review	12	No	NA	No
NA	2222-6931	Belgium	Double_anonymous_peer_review	53	Yes	250_EUR	Yes
NA	0809-9936	Norway	Double_anonymous_peer_review	25	No	NA	No
2460-6065	2548-3013	Indonesia	Double_anonymous_peer_review	24	Yes	100_USD	No
NA	1981-3821	Brazil	Anonymous_peer_review	60	Yes	2400_BRL	Yes
NA	2420-918X	Italy	Anonymous_peer_review	10	No	NA	No
NA	1836-6821	United_States	Double_anonymous_peer_review	15	No	NA	No
0121-3873	2248-7220	Colombia	Double_anonymous_peer_review	2	No	NA	No
1696-0270	2340-4973	Spain	Anonymous_peer_review	20	No	NA	No
2526-432X	2526-4338	Brazil	Peer_review	10	No	NA	No
2538-2926	2538-2934	"Iran,_Islamic_Republic_of"	Double_anonymous_peer_review	24	Yes	2000000_IRR	No
2444-9695	2444-9709	United_Kingdom	Double_anonymous_peer_review	12	No	NA	No
1693-7864	2597-4017	Indonesia	Double_anonymous_peer_review	4	Yes	300000_IDR	Yes
1576-5962	2174-0534	Spain	Peer_review	36	No	NA	No
NA	2610-9182	Italy	Double_anonymous_peer_review	10	Yes	40_USD	No
2460-7312	2460-7320	Indonesia	Peer_review	24	No	NA	No
NA	1878-4569	Netherlands	Peer_review	20	No	NA	No
1907-624X	2442-305X	Indonesia	Anonymous_peer_review	18	No	NA	No
NA	2383-2312	"Iran,_Islamic_Republic_of"	Double_anonymous_peer_review	8	No	NA	No
2086-0803	2541-2965	Indonesia	Anonymous_peer_review	24	No	NA	No
1907-3720	2502-5074	Indonesia	Double_anonymous_peer_review	24	No	NA	No
2443-0633	2443-2121	Indonesia	Peer_review	18	No	NA	No
2014-4865	2014-4806	Spain	Double_anonymous_peer_review	40	No	NA	No
1412-565X	NA	Indonesia	Anonymous_peer_review	12	Yes	500000_IDR	No
NA	2178-9010	Brazil	Double_anonymous_peer_review	16	No	NA	No
0126-4400	2407-876X	Indonesia	Double_anonymous_peer_review	4	Yes	800000_IDR	No
2252-5661	2443-0056	Indonesia	Peer_review	12	No	NA	No
1979-2603	2407-1684	Indonesia	Peer_review	10	No	NA	No
NA	1982-5625	Brazil	Double_anonymous_peer_review	12	No	NA	No
NA	1983-9979	Brazil	Peer_review	10	No	NA	Yes
2224-9281	2414-990X	Ukraine	Double_anonymous_peer_review	4	Yes	1440_UAH	No
2309-4923	2414-0481	Belarus	Double_anonymous_peer_review	8	No	NA	No
NA	2174-548X	Spain	Double_anonymous_peer_review	24	No	NA	No
1733-8670	2392-0378	Poland	Double_anonymous_peer_review	10	Yes	1000_PLN	Yes
NA	2238-8869	Brazil	Double_anonymous_peer_review	20	No	NA	No
1676-546X	1679-0359	Brazil	Double_anonymous_peer_review	8	Yes	700_BRL	No
NA	1981-3872	Brazil	Double_anonymous_peer_review	18	No	NA	No
NA	2157-1074	United_States	Peer_review	20	No	NA	No
0073-4721	1678-4766	Brazil	Peer_review	40	No	NA	No
1390-4825	2477-9199	Ecuador	Anonymous_peer_review	8	No	NA	No
1410-7791	2528-0805	Indonesia	Anonymous_peer_review	24	Yes	300000_IDR	No
NA	2243-4712	Spain	Anonymous_peer_review	16	No	NA	No
NA	2296-4754	Switzerland	Peer_review	5	No	NA	No
NA	2299-3282	Poland	Anonymous_peer_review	22	Yes	500_EUR	Yes
NA	2007-736X	Mexico	Double_anonymous_peer_review	24	No	NA	No
NA	2526-0251	Brazil	Double_anonymous_peer_review	16	No	NA	No
NA	2525-0469	Argentina	Anonymous_peer_review	20	No	NA	No
0123-3475	1909-8758	Colombia	Double_anonymous_peer_review	30	No	NA	Yes
1907-204X	2527-5968	Indonesia	Double_anonymous_peer_review	20	No	NA	No
2087-1708	2597-9035	Indonesia	Anonymous_peer_review	12	No	NA	No
NA	2155-5834	United_States	Double_anonymous_peer_review	16	No	NA	No
1976-8710	2005-0720	"Korea,_Republic_of"	Double_anonymous_peer_review	18	Yes	300_USD	No
2527-4449	2548-7892	Indonesia	Peer_review	24	No	NA	No
2237-8871	1679-5636	Brazil	Double_anonymous_peer_review	30	No	NA	Yes
0123-921X	2248-7638	Colombia	Double_anonymous_peer_review	40	No	NA	No
NA	1753-9854	United_Kingdom	Double_anonymous_peer_review	20	No	NA	No
NA	2215-4507	Costa_Rica	Double_anonymous_peer_review	15	No	NA	No
2252-6641	2549-0354	Indonesia	Peer_review	24	No	NA	No
1982-1867	2763-8898	Brazil	Double_anonymous_peer_review	24	No	NA	No
NA	2595-8925	Brazil	Anonymous_peer_review	14	No	NA	No
NA	2543-7844	Poland	Double_anonymous_peer_review	24	No	NA	No
NA	1809-8215	Brazil	Peer_review	12	No	NA	No
0031-9465	1593-2095	Italy	Peer_review	8	Yes	750_EUR	No
0259-191X	2224-0004	South_Africa	Double_anonymous_peer_review	15	No	NA	No
NA	1835-3800	Switzerland	Anonymous_peer_review	8	No	NA	Yes
NA	2532-5353	Italy	Double_anonymous_peer_review	20	No	NA	No
2039-9898	2281-4485	Italy	Peer_review	12	No	NA	No
NA	1984-1191	Brazil	Double_anonymous_peer_review	12	No	NA	No
1755-2273	1755-2281	United_States	Double_anonymous_peer_review	14	No	NA	No
1998-9911	2409-1979	Russian_Federation	Double_anonymous_peer_review	6	No	NA	No
1821-3251	2334-9905	Serbia	Anonymous_peer_review	23	No	NA	No
1978-3086	NA	Indonesia	Anonymous_peer_review	30	Yes	150_USD	No
0514-7336	2386-3943	Spain	Double_anonymous_peer_review	4	No	NA	No
NA	1699-8774	Spain	Double_anonymous_peer_review	12	No	NA	No
1676-1871	1676-3025	Brazil	Double_anonymous_peer_review	8	No	NA	No
NA	2385-2615	Italy	Double_anonymous_peer_review	8	No	NA	No
NA	2409-6911	Austria	Double_anonymous_peer_review	8	No	NA	No
2466-0981	2466-1171	United_Kingdom	Anonymous_peer_review	31	No	NA	No
NA	2046-2441	United_Kingdom	Anonymous_peer_review	14	Yes	1500_GBP	Yes
1413-053X	2447-4207	Brazil	Double_anonymous_peer_review	24	No	NA	No
NA	2675-5246	Brazil	Double_anonymous_peer_review	8	No	NA	No
2311-6420	2413-8231	Ukraine	Double_anonymous_peer_review	4	No	NA	No
2356-2048	2356-203X	Indonesia	Double_anonymous_peer_review	10	Yes	300000_IDR	No
NA	2723-1097	Indonesia	Double_anonymous_peer_review	4	Yes	250000_IDR	No
NA	2284-4473	Italy	Double_anonymous_peer_review	12	No	NA	No
2689-419X	2689-4203	United_States	Double_anonymous_peer_review	16	Yes	750_USD	Yes
2544-4476	2544-798X	Poland	Double_anonymous_peer_review	20	Yes	80_EUR;_475_PLN	No
NA	2687-0223	Russian_Federation	Double_anonymous_peer_review	20	No	NA	No
NA	2046-6390	United_Kingdom	Anonymous_peer_review	8	Yes	1995_USD	Yes
1612-6033	1612-6041	Germany	"Editorial_review,_Peer_review,_Anonymous_peer_review,_Double_anonymous_peer_review"	50	No	NA	No
2658-1213	NA	Poland	Double_anonymous_peer_review	16	No	NA	No
NA	2160-9381	Italy	Double_anonymous_peer_review	15	No	NA	No
1819-7671	2542-1948	Russian_Federation	Anonymous_peer_review	20	No	NA	No
NA	2677-0326	Hungary	Double_anonymous_peer_review	17	No	NA	No
2227-8486	NA	Russian_Federation	Double_anonymous_peer_review	12	No	NA	No
NA	2534-8434	Bulgaria	Double_anonymous_peer_review	6	No	NA	No
NA	2590-9215	Colombia	Double_anonymous_peer_review	18	No	NA	No
0120-8454	2145-9169	Colombia	Double_anonymous_peer_review	16	No	NA	No
NA	1539-3399	United_States	Anonymous_peer_review	24	No	NA	No
1991-9468	2308-1058	Russian_Federation	Double_anonymous_peer_review	16	No	NA	No
2686-9764	2782-1986	Russian_Federation	Double_anonymous_peer_review	20	No	NA	No
2355-8857	2407-6376	Indonesia	Double_anonymous_peer_review	14	Yes	400000_IDR	No
NA	2772-3917	Netherlands	Anonymous_peer_review	8	Yes	1900_USD	Yes
NA	1760-5296	France	Peer_review	30	No	NA	No
2685-6190	2714-7746	Indonesia	Double_anonymous_peer_review	24	No	NA	No
NA	1875-7103	Netherlands	Double_anonymous_peer_review	48	No	NA	No
2619-094X	2619-0931	Russian_Federation	Double_anonymous_peer_review	16	No	NA	No
2615-9856	NA	Viet_Nam	Double_anonymous_peer_review	12	No	NA	No
NA	1868-596X	Germany	"Anonymous_peer_review,_Double_anonymous_peer_review"	18	Yes	2000_EUR	Yes
NA	2633-1462	United_Kingdom	Double_anonymous_peer_review	8	Yes	800_GBP	Yes
2616-7069	2617-3115	Pakistan	Double_anonymous_peer_review	16	No	NA	No
NA	2474-9354	United_States	Anonymous_peer_review	54	No	NA	No
2541-8297	2542-2421	Russian_Federation	Double_anonymous_peer_review	12	No	NA	No
2322-4940	2345-5497	"Iran,_Islamic_Republic_of"	Double_anonymous_peer_review	8	No	NA	No
1896-2122	2392-1226	Poland	Double_anonymous_peer_review	24	No	NA	No
NA	2516-8061	United_Kingdom	Double_anonymous_peer_review	90	No	NA	No
NA	2612-5641	Italy	Double_anonymous_peer_review	30	No	NA	No
1733-6716	2391-6737	Poland	Double_anonymous_peer_review	70	No	NA	No
2237-9363	2317-6423	Brazil	Double_anonymous_peer_review	47	No	NA	No
2231-0770	2249-4464	India	Double_anonymous_peer_review	26	No	NA	No
2658-4123	2658-6525	Russian_Federation	Double_anonymous_peer_review	12	No	NA	No
NA	1923-1202	Canada	Peer_review	20	No	NA	No
0100-1574	NA	Brazil	Peer_review	14	No	NA	No
1414-8536	2176-9133	Brazil	Peer_review	45	Yes	600_BRL	Yes
2412-6446	NA	Russian_Federation	Double_anonymous_peer_review	12	No	NA	No
2345-1262	2345-184X	"Moldova,_Republic_of"	Peer_review	16	No	NA	No
2701-1569	2701-1550	Germany	Double_anonymous_peer_review	10	No	NA	No
1660-5403	1660-5578	Switzerland	Editorial_review	6	No	NA	No
1439-1783	NA	Germany	Anonymous_peer_review	30	No	NA	No
NA	2254-0644	Spain	Double_anonymous_peer_review	15	No	NA	No
NA	2281-3020	Italy	Double_anonymous_peer_review	16	No	NA	No
2085-1243	2579-5457	Indonesia	Anonymous_peer_review	10	Yes	500000_IDR	No
NA	2719-3306	Poland	Double_anonymous_peer_review	7	No	NA	No
NA	2621-2994	Indonesia	Anonymous_peer_review	6	Yes	300000_IDR	No
2723-7648	2723-763X	Indonesia	Double_anonymous_peer_review	8	No	NA	No
2516-3949	2516-3957	United_Kingdom	Double_anonymous_peer_review	5	Yes	785_GBP	Yes
2686-5343	2715-7989	Indonesia	Double_anonymous_peer_review	4	Yes	300000_IDR	No
1994-2540	2542-1956	Russian_Federation	Double_anonymous_peer_review	16	No	NA	No
1816-9775	2541-8971	Russian_Federation	Double_anonymous_peer_review	20	No	NA	No
0887-2058	2162-6901	United_States	Double_anonymous_peer_review	12	No	NA	No
2220-802X	NA	Russian_Federation	Double_anonymous_peer_review	12	No	NA	No
NA	2764-2666	Brazil	Peer_review	8	No	NA	No
0321-4796	2782-3229	Russian_Federation	Double_anonymous_peer_review	4	No	NA	No
1572-1701	2468-9068	Netherlands	Double_anonymous_peer_review	8	No	NA	No
NA	1824-5226	Italy	Anonymous_peer_review	24	No	NA	No
2654-6108	2654-3222	Indonesia	Anonymous_peer_review	16	Yes	1000000_IDR;_75_USD	Yes
NA	2656-7806	Indonesia	Double_anonymous_peer_review	8	Yes	150000_IDR	Yes
NA	2286-0452	Romania	Anonymous_peer_review	12	Yes	100_EUR	Yes
2215-342X	2215-4558	Costa_Rica	Double_anonymous_peer_review	25	No	NA	No
1807-3867	2447-6196	Brazil	Anonymous_peer_review	5	No	NA	No
2072-7593	2311-7036	Russian_Federation	Double_anonymous_peer_review	12	No	NA	No
1996-7853	2542-0038	Russian_Federation	Double_anonymous_peer_review	8	No	NA	No
2364-9283	2509-713X	Germany	Double_anonymous_peer_review	20	Yes	50_EUR	No
1451-3749	1820-7863	Serbia	Double_anonymous_peer_review	12	No	NA	No
1941-7233	2345-024X	Lithuania	Anonymous_peer_review	25	No	NA	No
1680-8738	2663-547X	Iraq	Peer_review	24	Yes	100000_IQD	No
NA	2156-7964	United_States	Double_anonymous_peer_review	16	No	NA	No
NA	2616-7107	Ukraine	Anonymous_peer_review	6	Yes	200_UAH	No
0210-492X	2174-6451	Spain	Anonymous_peer_review	16	No	NA	No
NA	2083-6007	Poland	Peer_review	20	Yes	450_EUR	No
0870-4112	2183-7139	Portugal	Double_anonymous_peer_review	35	No	NA	No
2613-7844	2613-7852	Estonia	Double_anonymous_peer_review	18	No	NA	No
0121-750X	2344-8393	Colombia	Double_anonymous_peer_review	10	No	NA	No
1562-1057	2476-6755	"Iran,_Islamic_Republic_of"	Double_anonymous_peer_review	24	Yes	2000000_IRR	No
2217-7337	2406-2006	Serbia	Double_anonymous_peer_review	8	No	NA	No
2221-8785	2413-0109	Belarus	Peer_review	4	No	NA	No
1696-7240	1988-8287	Spain	Peer_review	12	No	NA	No
2424-9335	2424-9270	Singapore	Peer_review	12	No	NA	No
2656-5390	2579-6194	Indonesia	Anonymous_peer_review	4	Yes	100000_IDR	Yes
NA	2446-5577	Brazil	Peer_review	16	No	NA	No
NA	2375-2467	United_States	Peer_review	6	No	NA	No
1025-9945	1993-4904	Peru	Double_anonymous_peer_review	24	No	NA	No
0254-9212	2224-6428	Peru	Anonymous_peer_review	8	No	NA	No
NA	1573-160X	Russian_Federation	Anonymous_peer_review	24	No	NA	No
1224-869X	2065-9601	Romania	Double_anonymous_peer_review	15	No	NA	No
NA	2078-7170	Cuba	Double_anonymous_peer_review	12	No	NA	No
2229-8940	NA	Malaysia	Peer_review	10	No	NA	No
NA	2300-1690	Poland	Double_anonymous_peer_review	5	No	NA	No
1981-6197	2177-4560	Brazil	Double_anonymous_peer_review	48	No	NA	No
2443-1591	2460-0873	Indonesia	Peer_review	25	No	NA	No
NA	2284-1180	Italy	Double_anonymous_peer_review	20	No	NA	No
NA	1846-6273	Croatia	Anonymous_peer_review	12	No	NA	No
NA	2541-6111	Indonesia	Anonymous_peer_review	4	No	NA	No
1411-8327	NA	Indonesia	Anonymous_peer_review	24	Yes	750000_IDR;_60_USD	No
1885-8619	2173-9218	Spain	Double_anonymous_peer_review	5	No	NA	No
1981-8068	1981-8076	Brazil	Double_anonymous_peer_review	49	No	NA	No
1410-8089	2443-2687	Indonesia	Peer_review	12	No	NA	No
1738-6756	2092-9900	"Korea,_Republic_of"	Peer_review	20	Yes	500_USD	No
2252-0473	2252-0546	"Iran,_Islamic_Republic_of"	Double_anonymous_peer_review	12	No	NA	No
NA	2341-5576	Finland	Double_anonymous_peer_review	24	No	NA	No
NA	2477-7862	Indonesia	Peer_review	8	Yes	500000_IDR	No
NA	2373-275X	United_States	Double_anonymous_peer_review	5	No	NA	No
2622-4755	2622-4798	Indonesia	Anonymous_peer_review	8	No	NA	No
NA	2621-9336	Indonesia	Anonymous_peer_review	10	No	NA	No
0329-0573	2362-5643	Argentina	Double_anonymous_peer_review	10	No	NA	Yes
NA	2369-775X	Canada	Double_anonymous_peer_review	12	No	NA	No
2088-5415	2355-5777	Indonesia	Double_anonymous_peer_review	24	Yes	750000_IDR	No
2071-8748	2218-3345	El_Salvador	Double_anonymous_peer_review	1	No	NA	No
NA	2374-6793	United_States	Double_anonymous_peer_review	4	No	NA	No
1980-5128	2317-5125	Brazil	Peer_review	24	No	NA	No
NA	2196-5420	United_States	Anonymous_peer_review	13	No	NA	No
0915-2245	1881-3933	Japan	Anonymous_peer_review	29	No	NA	No
0920-1297	1558-5263	United_States	Double_anonymous_peer_review	16	No	NA	No
0914-4935	2435-0869	Japan	Peer_review	9	Yes	99360_JPY	No
0935-1221	1617-4011	Germany	Peer_review	15	Yes	950_EUR	Yes
2746-1513	2746-1521	Indonesia	Double_anonymous_peer_review	24	No	NA	No
0953-6833	1993-7288	United_Kingdom	Peer_review	14	No	NA	No
0101-4846	2175-8026	Brazil	Double_anonymous_peer_review	16	No	NA	No
0048-0134	1179-5395	New_Zealand	Anonymous_peer_review	39	No	NA	No
0252-9521	2215-3489	Costa_Rica	Double_anonymous_peer_review	20	No	NA	No
0259-0190	2309-9585	South_Africa	Double_anonymous_peer_review	24	No	NA	No
0303-7657	2317-6369	Brazil	Double_anonymous_peer_review	53	No	NA	No
0370-4661	1853-8665	Argentina	Double_anonymous_peer_review	24	Yes	300_USD	No
1584-3734	2286-0428	Poland	Anonymous_peer_review	25	No	NA	No
0022-0302	1525-3198	United_States	Anonymous_peer_review	10	Yes	3500_USD	Yes
0103-801X	2176-1078	Brazil	Double_anonymous_peer_review	24	No	NA	No
0123-8884	NA	Colombia	Double_anonymous_peer_review	24	No	NA	No
0121-747X	2357-5549	Colombia	Double_anonymous_peer_review	10	No	NA	No
0967-201X	1752-2285	United_States	Double_anonymous_peer_review	24	No	NA	No
NA	2675-6188	Brazil	"Editorial_review,_Peer_review,_Anonymous_peer_review,_Double_anonymous_peer_review"	12	No	NA	No
0327-7763	2451-5434	Argentina	Double_anonymous_peer_review	16	No	NA	No
2312-9220	2312-9247	Russian_Federation	Double_anonymous_peer_review	5	No	NA	No
2797-0175	2775-2518	Indonesia	Double_anonymous_peer_review	24	No	NA	No
2199-8108	2199-8116	Germany	"Editorial_review,_Double_anonymous_peer_review"	20	No	NA	No
2338-168X	2686-5742	Indonesia	Double_anonymous_peer_review	12	No	NA	No
1012-5973	2314-5226	Egypt	Double_anonymous_peer_review	6	Yes	400_EGP	No
NA	2053-1680	United_States	Double_anonymous_peer_review	12	Yes	800_USD	Yes
2587-6112	2618-9488	Russian_Federation	Double_anonymous_peer_review	12	No	NA	No
2527-7499	2528-3634	Indonesia	Double_anonymous_peer_review	8	No	NA	No
0854-3844	2355-7826	Indonesia	Double_anonymous_peer_review	12	No	NA	No
1693-0010	2615-224X	Indonesia	Double_anonymous_peer_review	6	Yes	300000_IDR	No
2599-0799	2598-9480	Indonesia	Anonymous_peer_review	8	No	NA	Yes
2356-296X	2356-3001	Indonesia	Anonymous_peer_review	28	No	NA	No
2615-9848	NA	Viet_Nam	Double_anonymous_peer_review	12	No	NA	No
2723-3596	2746-0509	Indonesia	Double_anonymous_peer_review	4	No	NA	No
0127-8126	NA	Malaysia	Double_anonymous_peer_review	24	No	NA	No
NA	2590-1990	Netherlands	Open_peer_review	12	No	NA	No
2443-3381	2443-1419	Indonesia	Double_anonymous_peer_review	12	Yes	500000_IDR	Yes
2075-0943	2520-0313	Pakistan	Double_anonymous_peer_review	24	No	NA	No
2538-2535	2538-2446	"Iran,_Islamic_Republic_of"	Double_anonymous_peer_review	8	No	NA	No
2287-3651	2287-366X	"Korea,_Republic_of"	Peer_review	8	No	NA	No
1310-7976	2603-3410	Bulgaria	Double_anonymous_peer_review	24	No	NA	No
NA	2764-1589	Brazil	"Open_peer_review,_Double_anonymous_peer_review"	8	No	NA	No
NA	2421-2679	Italy	Double_anonymous_peer_review	12	No	NA	No
0304-2340	1984-1841	Brazil	Double_anonymous_peer_review	25	No	NA	No
1390-5074	2602-8492	Ecuador	Anonymous_peer_review	12	No	NA	No
NA	1904-7843	Denmark	Double_anonymous_peer_review	37	No	NA	No
2658-6649	2658-6657	Russian_Federation	Double_anonymous_peer_review	8	Yes	350_USD	No
2228-5148	2783-0772	"Iran,_Islamic_Republic_of"	Double_anonymous_peer_review	23	Yes	3500000_IRR	No
2776-6993	2721-5989	Indonesia	Double_anonymous_peer_review	12	Yes	50_USD	Yes
1981-8122	2178-2547	Brazil	Double_anonymous_peer_review	50	No	NA	No
2305-8773	2713-0282	Russian_Federation	Double_anonymous_peer_review	6	No	NA	No
2782-4004	2782-6341	Russian_Federation	Double_anonymous_peer_review	12	No	NA	No
2088-4095	2579-714X	Indonesia	Double_anonymous_peer_review	8	No	NA	No
1121-3086	2038-8314	Italy	Anonymous_peer_review	10	No	NA	No
1412-6109	2580-2763	Indonesia	Double_anonymous_peer_review	8	No	NA	No
NA	2767-7052	United_States	Double_anonymous_peer_review	12	No	NA	No
1025-028X	1025-0298	Cuba	Double_anonymous_peer_review	16	No	NA	No
NA	2598-8530	Indonesia	Double_anonymous_peer_review	16	Yes	250000_IDR	Yes
1411-8033	2614-0101	Indonesia	Double_anonymous_peer_review	12	Yes	40_USD;_500000_IDR	No
2614-1388	2622-7479	Indonesia	Double_anonymous_peer_review	24	No	NA	No
NA	2659-9031	Spain	Double_anonymous_peer_review	16	No	NA	No
2721-0723	2716-3202	Indonesia	Double_anonymous_peer_review	12	Yes	200000_IDR	Yes
NA	2377-1143	United_States	Peer_review	12	No	NA	No
NA	2316-1795	Brazil	Double_anonymous_peer_review	16	No	NA	No
