ISSN	assigned	peer_review_model
1362-9395	Camille	Double/triple_blind
0026-3141	Camille	Unknown
0037-976X	Camille	Unknown
1387-6740	Camille	Unknown
0028-0283	Camille	Single_blind
1558-6073	Camille	Unknown
2397-3374	Camille	Single_blind
2398-9629	Camille	Single_blind
0889-3365	Camille	Unknown
1362-1017	Camille	Double/triple_blind
2590-3330	Camille	Unknown
1936-9735	Camille	Double/triple_blind
1350-5084	Camille	Double/triple_blind
1094-4281	Camille	Double/triple_blind
0744-6020	Camille	Unknown
0301-0066	Camille	Single_blind
1088-8683	Camille	Double/triple_blind
1745-6916	Camille	Unknown
0031-8248	Camille	Double/triple_blind
0031-9384	Camille	Single_blind
0266-5433	Camille	Double/triple_blind
1058-4609	Camille	Single_blind
1210-0455	Camille	Single_blind
0193-953X	Camille	Unknown
0165-1781	Camille	Single_blind
0033-2909	Camille	Double/triple_blind
1047-840X	Camille	Single_blind
0956-7976	Camille	Double/triple_blind
1529-1006	Camille	Unknown
0305-7356	Camille	Double/triple_blind
2689-6567	Camille	Double/triple_blind
0033-3123	Camille	Unknown
2731-7161	Camille	Unknown
0033-3190	Camille	Single_blind
0033-3352	Camille	Double/triple_blind
0091-0260	Camille	Double/triple_blind
1478-0887	Camille	Double/triple_blind
1473-3250	Camille	Double/triple_blind
0033-5533	Camille	Unknown
1747-0218	Camille	Unknown
1554-0626	Camille	Single_blind
1748-5983	Camille	Double/triple_blind
0033-6882	Camille	Double/triple_blind
0928-7655	Camille	Double/triple_blind
0301-4207	Camille	Double/triple_blind
1877-9751	Camille	Unknown
1434-4742	Camille	Double/triple_blind
0034-6535	Camille	Single_blind
0034-6543	Camille	Double/triple_blind
0893-9454	Camille	Unknown
0260-2105	Camille	Double/triple_blind
2194-5993	Camille	Unknown
1610-2878	Camille	Unknown
0277-3945	Camille	Single_blind
0956-7933	Camille	Unknown
0924-3453	Camille	Double/triple_blind
2578-4218	Camille	Unknown
1075-5470	Camille	Single_blind
0264-2069	Camille	Double/triple_blind
0269-1728	Camille	Double/triple_blind
0951-631X	Camille	Double/triple_blind
1751-2395	Camille	Unknown
1381-2890	Camille	Double/triple_blind
0306-3127	Camille	Double/triple_blind
0037-8046	Camille	Double/triple_blind
1070-5309	Camille	Double/triple_blind
0081-1750	Camille	Double/triple_blind
0049-1241	Camille	Double/triple_blind
0141-9889	Camille	Double/triple_blind
2332-6492	Camille	Unknown
0741-1235	Camille	Double/triple_blind
0038-0385	Camille	Double/triple_blind
1357-3322	Camille	Single_blind
1413-8123	Camille	Unknown
1941-6520	Camille	Unknown
0001-4273	Camille	Unknown
1558-9080	Camille	Double/triple_blind
0363-7425	Camille	Unknown
1585-1923	Camille	Double/triple_blind
0279-5442	Camille	Double/triple_blind
0002-8282	Camille	Unknown
2640-205X	Camille	Unknown
0272-9490	Camille	Unknown
0002-953X	Camille	Single_blind
0003-066X	Camille	Unknown
0090-0036	Camille	Double/triple_blind
1548-5943	Camille	Unknown
2572-4568	Camille	Unknown
1543-5938	Camille	Unknown
2327-0608	Camille	Unknown
1094-2939	Camille	Unknown
0066-4308	Camille	Unknown
0163-7525	Camille	Unknown
0360-0572	Camille	Unknown
0006-8047	Camille	Unknown
0002-0206	Camille	Double/triple_blind
0140-525X	Camille	Single_blind
0007-1250	Camille	Single_blind
1052-150X	Camille	Double/triple_blind
0010-4175	Camille	NA
0009-4021	Camille	Unknown
1680-2012	Camille	Unknown
0010-1958	Camille	Unknown
0936-5907	Camille	Unknown
0341-2059	Camille	Double/triple_blind
1613-7027	Camille	Unknown
0002-9432	Camille	Double/triple_blind
1099-9809	Camille	Double/triple_blind
2213-6657	Camille	Single_blind
0007-6813	Camille	Double/triple_blind
0140-9883	Camille	Single_blind
0267-3649	Camille	Double/triple_blind
0264-2751	Camille	Double/triple_blind
0301-4215	Camille	Single_blind
0195-9255	Camille	Double/triple_blind
1362-0436	Camille	Double/triple_blind
2514-9288	Camille	Double/triple_blind
2070-3449	Camille	Unknown
0227-5910	Camille	Unknown
0012-1924	Camille	Unknown
0176-4225	Camille	Unknown
1536-0903	Camille	Unknown
0161-9268	Camille	Unknown
1535-3516	Camille	Unknown
0011-5266	Camille	Unknown
1535-7414	Camille	Unknown
0013-8266	Camille	Double/triple_blind
1474-5151	Camille	Unknown
1753-9129	Camille	Unknown
2049-7113	Camille	Unknown
1745-8552	Camille	Double/triple_blind
1472-4790	Camille	Unknown
0001-4575	Camille	Single_blind
0160-7383	Camille	Double/triple_blind
0272-7358	Camille	Single_blind
0360-1315	Camille	Double/triple_blind
0747-5632	Camille	Double/triple_blind
0001-4788	Camille	Double/triple_blind
0954-0121	Camille	Double/triple_blind
1526-5161	Camille	Single_blind
0892-7936	Camille	Double/triple_blind
1350-4851	Camille	Single_blind
1360-2381	Camille	Double/triple_blind
0218-8791	Camille	Single_blind
0816-4649	Camille	Double/triple_blind
1354-6805	Camille	Single_blind
1931-2458	Camille	Single_blind
1037-6178	Camille	Double/triple_blind
1475-9551	Camille	Double/triple_blind
1368-3500	Camille	Single_blind
0159-6306	Camille	Single_blind
1040-9289	Camille	Single_blind
0046-1520	Camille	Single_blind
0305-5698	Camille	Single_blind
1937-8629	Camille	Double/triple_blind
0967-2567	Camille	Double/triple_blind
1109-4028	Camille	Unknown
0001-8392	Camille	Unknown
2515-2459	Camille	Single_blind
1098-2140	Camille	Double/triple_blind
0003-1224	Camille	Double/triple_blind
0198-7429	Camille	Unknown
0008-1256	Camille	Unknown
1054-7738	Camille	Double/triple_blind
0888-3254	Camille	Double/triple_blind
0013-189X	Camille	Unknown
0195-6574	Camille	Single_blind
1042-2587	Camille	Double/triple_blind
2514-8486	Camille	Double/triple_blind
0001-6993	Camille	Double/triple_blind
1059-7123	Camille	Single_blind
1463-4996	Camille	Double/triple_blind
1474-4740	Camille	Double/triple_blind
1354-067X	Camille	No_blinding
2043-8206	Camille	Double/triple_blind
0214-4840	Camille	Unknown
0263-0338	Camille	Double/triple_blind
0889-048X	Camille	Double/triple_blind
0570-1864	Camille	Double/triple_blind
1943-3921	Camille	Unknown
1554-351X	Camille	Unknown
1875-1342	Camille	Unknown
0738-0151	Camille	Double/triple_blind
0009-398X	Camille	Single_blind
0165-005X	Camille	Double/triple_blind
0013-063X	Camille	Unknown
0256-2928	Camille	Double/triple_blind
0928-1371	Camille	Unknown
1610-2932	Camille	Double/triple_blind
1863-2505	Camille	Unknown
1612-4782	Camille	Double/triple_blind
1019-6781	Camille	Double/triple_blind
1090-0586	Camille	Unknown
1040-726X	Camille	Double/triple_blind
0163-9625	Camille	Single_blind
1606-6359	Camille	Double/triple_blind
0362-6784	Camille	Single_blind
1024-2694	Camille	Single_blind
0960-085X	Camille	Double/triple_blind
0318-6431	Camille	Unknown
2448-5799	Camille	Unknown
0093-1896	Camille	Unknown
0013-5984	Camille	Double/triple_blind
0212-9728	Camille	Double/triple_blind
1017-6772	Camille	Unknown
0096-140X	Camille	Unknown
1042-0533	Camille	Unknown
1370-4788	Camille	Unknown
1440-6381	Camille	Double/triple_blind
0814-723X	Camille	Double/triple_blind
1359-107X	Camille	Double/triple_blind
0964-4733	Camille	Double/triple_blind
0008-3976	Camille	Double/triple_blind
0008-4085	Camille	Unknown
0952-9136	Camille	Single_blind
1356-7500	Camille	Double/triple_blind
0951-0605	Camille	Double/triple_blind
1535-3958	Camille	Double/triple_blind
1091-4269	Camille	Single_blind
0012-155X	Camille	Unknown
0950-6764	Camille	Unknown
0013-0117	Camille	Unknown
1756-932X	Camille	Double/triple_blind
0263-2373	Matilde	Double/triple_blind
0966-2839	Matilde	Double/triple_blind
1461-6696	Matilde	Double/triple_blind
0149-7189	Matilde	Double/triple_blind
0163-2787	Matilde	Double/triple_blind
0894-4865	Matilde	Double/triple_blind
0014-9187	Matilde	Unknown
1468-0777	Matilde	Unknown
1525-822X	Matilde	Single_blind
0949-2984	Matilde	Double/triple_blind
1544-6123	Matilde	Single_blind
0015-7120	Matilde	Unknown
0016-3287	Matilde	Double/triple_blind
0940-5550	Matilde	Double/triple_blind
1018-5895	Matilde	Unknown
0016-7398	Matilde	Double/triple_blind
1465-0045	Matilde	Double/triple_blind
1226-508X	Matilde	Double/triple_blind
0959-3780	Matilde	Double/triple_blind
2042-5791	Matilde	Double/triple_blind
1064-2684	Matilde	Single_blind
0952-1895	Matilde	Double/triple_blind
0926-2644	Matilde	Double/triple_blind
0210-1173	Matilde	Double/triple_blind
0017-8012	Matilde	Unknown
0017-8055	Matilde	Single_blind
0278-2715	Matilde	Single_blind
1744-1331	Matilde	Double/triple_blind
1743-7199	Matilde	Double/triple_blind
0952-8733	Matilde	Single_blind
0275-7206	Matilde	Double/triple_blind
0018-2702	Matilde	Single_blind
1051-1482	Matilde	Double/triple_blind
0954-5395	Matilde	Double/triple_blind
1070-289X	Matilde	Single_blind
0265-5012	Matilde	Double/triple_blind
0361-1434	Matilde	Unknown
1471-678X	Matilde	Double/triple_blind
0019-4646	Matilde	Unknown
1754-9426	Matilde	Double/triple_blind
0019-8501	Matilde	Double/triple_blind
0378-7206	Matilde	Double/triple_blind
0306-4573	Matilde	Double/triple_blind
1098-3058	Matilde	Double/triple_blind
1750-1229	Matilde	Single_blind
0160-2896	Matilde	Double/triple_blind
0969-5931	Matilde	Double/triple_blind
1474-6743	Matilde	No_blinding
1461-6742	Matilde	Double/triple_blind
0802-6106	Matilde	Double/triple_blind
0020-7144	Matilde	Double/triple_blind
1470-6423	Matilde	Double/triple_blind
0959-6119	Matilde	Double/triple_blind
1937-4585	Matilde	Double/triple_blind
1076-9307	Matilde	No_blinding
0169-2070	Matilde	Double/triple_blind
0278-4319	Matilde	Double/triple_blind
0268-4012	Matilde	Double/triple_blind
1753-8394	Matilde	Double/triple_blind
0957-4093	Matilde	Double/triple_blind
1460-8545	Matilde	Double/triple_blind
1470-7853	Matilde	Double/triple_blind
1557-1874	Matilde	Unknown
1470-949X	Matilde	Unknown
0020-7489	Matilde	Double/triple_blind
0144-3577	Matilde	Double/triple_blind
0263-7863	Matilde	Double/triple_blind
0020-7578	Matilde	Double/triple_blind
0167-8760	Matilde	Double/triple_blind
0342-5282	Matilde	Unknown
0020-7640	Matilde	Double/triple_blind
1752-7716	Matilde	Double/triple_blind
1226-5934	Matilde	Double/triple_blind
0020-8183	Matilde	Double/triple_blind
0047-1178	Matilde	Single_blind
1369-412X	Matilde	Unknown
1816-3831	Matilde	Double/triple_blind
1369-801X	Matilde	Double/triple_blind
0332-3315	Matilde	Double/triple_blind
0790-7184	Matilde	Double/triple_blind
0748-5492	Matilde	Unknown
2168-622X	Matilde	Double/triple_blind
1742-7932	Matilde	Double/triple_blind
0963-8024	Matilde	Unknown
0091-7710	Matilde	Unknown
0887-6185	Matilde	Double/triple_blind
0021-8855	Matilde	Double/triple_blind
0193-3973	Matilde	Double/triple_blind
0733-4648	Matilde	Double/triple_blind
0021-9010	Matilde	Unknown
1087-0547	Matilde	Double/triple_blind
2214-8043	Matilde	Double/triple_blind
0735-0015	Matilde	Double/triple_blind
0306-686X	Matilde	Double/triple_blind
0735-3766	Matilde	Double/triple_blind
0148-2963	Matilde	Double/triple_blind
0883-9026	Matilde	Double/triple_blind
1932-2259	Matilde	Single_blind
0894-8453	Matilde	Double/triple_blind
0021-9630	Matilde	Single_blind
1748-2798	Matilde	Double/triple_blind
2381-2346	Matilde	Double/triple_blind
1080-6954	Matilde	Double/triple_blind
0021-9762	Matilde	Double/triple_blind
0889-8391	Matilde	Unknown
0021-9916	Matilde	Double/triple_blind
0021-9924	Matilde	Double/triple_blind
0047-2328	Matilde	Double/triple_blind
1355-8250	Matilde	Unknown
0891-2416	Matilde	Unknown
0022-0094	Matilde	Double/triple_blind
0022-0221	Matilde	Single_blind
1074-1240	Matilde	Unknown
0022-0388	Matilde	Single_blind
1044-2073	Matilde	Unknown
0022-0426	Matilde	Double/triple_blind
1468-7984	Matilde	Double/triple_blind
0949-6181	Matilde	Unknown
1468-2702	Matilde	Double/triple_blind
0021-3624	Matilde	Single_blind
0022-0515	Matilde	Unknown
0895-3309	Matilde	Unknown
0931-8658	Matilde	Double/triple_blind
0022-0531	Matilde	Single_blind
0957-8234	Matilde	Double/triple_blind
1047-4412	Matilde	Single_blind
0099-1767	Matilde	Double/triple_blind
1740-1453	Matilde	Double/triple_blind
0022-0787	Matilde	Double/triple_blind
0278-0771	Matilde	Single_blind
0703-6337	Matilde	Double/triple_blind
0958-9287	Matilde	Double/triple_blind
1573-3750	Matilde	Double/triple_blind
0192-513X	Matilde	Double/triple_blind
1322-9400	Matilde	Double/triple_blind
0163-4445	Matilde	Double/triple_blind
0022-1082	Matilde	Unknown
0958-9236	Matilde	Double/triple_blind
0022-1325	Matilde	Single_blind
1435-5930	Matilde	Double/triple_blind
1936-8623	Matilde	Double/triple_blind
0022-1678	Matilde	Double/triple_blind
0964-2633	Matilde	Double/triple_blind
0047-2506	Matilde	Double/triple_blind
1408-6980	Matilde	Double/triple_blind
1534-8458	Matilde	Single_blind
0022-2194	Matilde	Unknown
0961-0006	Matilde	Double/triple_blind
0149-2063	Matilde	Unknown
0742-1222	Matilde	Unknown
0143-2095	NA	NA
0210-9395	NA	NA
1359-8546	NA	NA
0968-0802	NA	NA
2352-5509	NA	Single_blind
0888-4064	NA	NA
0040-1625	NA	NA
0040-165X	NA	NA
0160-791X	NA	Single_blind
0166-4972	NA	NA
0736-5853	NA	NA
0304-2421	NA	NA
0263-2764	NA	NA
1756-8757	NA	NA
1461-6688	NA	NA
0261-5177	NA	NA
2211-9736	NA	Single_blind
1660-5373	NA	NA
1355-6509	NA	NA
1361-9209	NA	NA
1366-5545	NA	NA
0144-1647	NA	NA
0041-1868	NA	NA
1364-6613	NA	NA
1084-4791	NA	NA
1077-8012	NA	NA
0163-660X	NA	NA
1757-7780	NA	NA
0730-8884	NA	NA
0257-3032	NA	NA
1723-8617	NA	NA
1863-9690	NA	NA
1040-2446	NA	Single_blind
0898-9621	NA	NA
0001-4842	NA	NA
0889-325X	NA	NA
0360-0300	NA	NA
1553-3077	NA	NA
0814-6039	NA	NA
1944-8244	NA	Single_blinding
2155-5435	NA	Single_blind
2380-8195	NA	NA
1936-0851	NA	Single_blind
2379-3694	NA	NA
2168-0485	NA	NA
0065-1036	NA	NA
1742-7061	NA	Single_blind
1359-6454	NA	Single_blind
1439-8516	NA	NA
0001-6322	NA	NA
0962-4929	NA	NA
0001-6454	NA	NA
1671-4083	NA	NA
0587-4246	NA	NA
1000-6818	NA	NA
1785-8860	NA	NA
2214-8604	NA	Single_blind
0924-3046	NA	NA
2522-0128	NA	NA
0169-409X	NA	Single_blind
1614-6832	NA	Unknown
1474-0346	NA	Single_blind
2524-7921	NA	NA
1616-301X	NA	Unknown
2192-2640	NA	NA
0935-9648	NA	NA
2195-1071	NA	NA
1816-112X	NA	NA
1864-8258	NA	NA
0001-8686	NA	NA
1019-7168	NA	NA
0001-8708	NA	NA
2161-8313	NA	NA
1943-8206	NA	NA
0001-8732	NA	NA
1568-1637	NA	Single_blind
1774-0746	NA	NA
1980-0436	NA	NA
1472-2739	NA	NA
0269-2813	NA	NA
0105-4538	NA	NA
1552-5260	NA	NA
0002-9122	NA	NA
1175-3277	NA	NA
0192-415X	NA	NA
0002-9270	NA	NA
0361-8609	NA	NA
0002-9297	NA	NA
0272-6386	NA	NA
0002-9327	NA	NA
0002-9378	NA	NA
0889-5406	NA	NA
0894-9115	NA	NA
1073-449X	NA	NA
0002-9599	NA	NA
0002-9610	NA	NA
1600-6135	NA	NA
0003-0147	NA	NA
0003-2409	NA	NA
1664-2368	NA	NA
0133-3852	NA	NA
0003-2697	NA	NA
0003-2700	NA	NA
0170-5334	NA	NA
0003-3022	NA	NA
1433-7851	NA	Single_blind
0969-6970	NA	NA
1300-0861	NA	NA
0003-3847	NA	NA
0373-0956	NA	NA
0003-455X	NA	NA
0232-704X	NA	NA
0003-4819	NA	NA
0364-5134	NA	NA
0923-7534	NA	NA
1060-0280	NA	NA
1877-0657	NA	Single_blind
0003-4916	NA	NA
0003-4932	NA	NA
1546-3222	NA	NA
0003-4967	NA	NA
1936-1327	NA	NA
2165-8102	NA	NA
0066-4146	NA	NA
0066-4154	NA	NA
1523-9829	NA	NA
1936-122X	NA	NA
2472-3428	NA	NA
1081-0706	NA	NA
1947-5438	NA	NA
1947-5454	NA	NA
0084-6597	NA	NA
1543-592X	NA	NA
0066-4170	NA	NA
0066-4189	NA	NA
1941-1413	NA	NA
0066-4197	NA	NA
1527-8204	NA	NA
0732-0582	NA	NA
1941-1405	NA	NA
1531-7331	NA	NA
0066-4219	NA	NA
0066-4227	NA	NA
0147-006X	NA	NA
0163-8998	NA	NA
0199-9885	NA	NA
1553-4006	NA	NA
0362-1642	NA	NA
0066-426X	NA	NA
0066-4278	NA	NA
0066-4286	NA	NA
1543-5008	NA	NA
2326-8298	NA	NA
2327-056X	NA	NA
1367-5788	NA	Single_blind
0918-7960	NA	NA
0166-3542	NA	NA
1445-1433	NA	NA
0938-1279	NA	NA
0862-7940	NA	NA
1683-3511	NA	NA
0273-2289	NA	NA
0926-3373	NA	NA
1869-0327	NA	NA
1054-4887	NA	NA
1589-1623	NA	NA
0306-2619	NA	NA
1672-7975	NA	NA
2352-9407	NA	Single_blind
0003-6900	NA	NA
2327-9095	NA	NA
2162-2965	NA	NA
0141-1187	NA	NA
1931-9401	NA	NA
1568-4946	NA	Single_blind
0570-4928	NA	NA
1365-7305	NA	NA
0967-6120	NA	NA
2193-567X	NA	NA
1745-2007	NA	NA
1875-2136	NA	Single_blind
1134-3060	NA	NA
0340-3696	NA	NA
0188-4409	NA	NA
0003-9969	NA	NA
1862-3522	NA	NA
1381-3455	NA	NA
0300-2896	NA	NA
0004-2080	NA	NA
1079-5642	NA	NA
2326-5191	NA	NA
0004-3702	NA	NA
0933-3657	NA	NA
0269-2821	NA	NA
1876-2018	NA	Single_blind
0935-4956	NA	NA
0092-640X	NA	Single_blind
0385-8146	NA	NA
0004-8666	NA	NA
2072-7151	NA	NA
1568-9972	NA	Single_blind
0005-1179	NA	NA
0926-5805	NA	NA
1554-8627	NA	NA
0067-3064	NA	NA
0300-8428	NA	NA
0932-8351	NA	NA
1521-690X	NA	NA
0006-2960	NA	NA
0829-8211	NA	NA
0304-4165	NA	NA
0304-419X	NA	NA
2096-5524	NA	NA
1758-5082	NA	NA
1387-3547	NA	NA
0006-3223	NA	NA
1464-7931	NA	NA
1045-1056	NA	Single_blind
0791-7945	NA	NA
0142-9612	NA	NA
0013-5585	NA	NA
0323-3847	NA	NA
0006-3525	NA	NA
0960-8524	NA	NA
0006-3568	NA	NA
0956-5663	NA	NA
0734-9750	NA	NA
8756-7938	NA	NA
0006-3657	NA	NA
0006-4971	NA	NA
2473-9529	NA	NA
0253-5068	NA	NA
0268-960X	NA	Single_blind
0006-5196	NA	NA
0959-535X	NA	NA
2515-446X	NA	NA
0717-7917	NA	NA
1687-2770	NA	NA
0006-8950	NA	NA
0006-8977	NA	NA
0889-1591	NA	NA
0387-7604	NA	NA
0006-8993	NA	NA
1863-2653	NA	NA
1467-5463	NA	NA
0007-0912	NA	NA
0007-0920	NA	NA
0007-0963	NA	NA
0306-3674	NA	NA
0007-1323	NA	NA
0360-1323	NA	NA
0143-6244	NA	NA
0007-4888	NA	NA
0003-0007	NA	NA
0004-9727	NA	NA
1678-7544	NA	NA
1017-060X	NA	NA
0253-2964	NA	NA
0037-1106	NA	NA
1436-9990	NA	NA
2363-7005	NA	NA
0007-9235	NA	NA
0008-0624	NA	NA
0008-414X	NA	NA
0008-4271	NA	NA
0701-1784	NA	NA
0167-7659	NA	NA
1535-6108	NA	Single_blind
0344-5704	NA	NA
2159-8274	NA	NA
2326-6066	NA	NA
0304-3835	NA	NA
0008-5472	NA	NA
0305-7372	NA	NA
0144-8617	NA	NA
0008-6223	NA	NA
0174-1551	NA	NA
1995-1892	NA	NA
0008-6363	NA	NA
0161-4940	NA	NA
1571-1013	NA	NA
0092-8674	NA	NA
2451-9456	NA	NA
1350-9047	NA	Single_blind
1931-3128	NA	NA
1550-4131	NA	Single_blind
1001-0602	NA	NA
1934-5909	NA	Single_blind
2405-4712	NA	NA
1420-682X	NA	NA
1672-7681	NA	NA
0969-0239	NA	NA
0008-8846	NA	NA
0958-9465	NA	NA
1425-8129	NA	NA
1435-246X	NA	NA
1015-9770	NA	NA
1054-1500	NA	NA
0960-0779	NA	NA
1071-8443	NA	NA
2451-9294	NA	NA
1747-0277	NA	NA
1385-8947	NA	Single_blind
0009-2363	NA	NA
0009-2665	NA	NA
0306-0012	NA	NA
1612-1872	NA	NA
0897-4756	NA	NA
0045-6535	NA	NA
1439-4235	NA	NA
1864-5631	NA	NA
0012-3692	NA	NA
0718-5839	NA	NA
1001-8417	NA	Single_blind
0253-9837	NA	NA
1001-4861	NA	NA
1672-0415	NA	NA
1674-1056	NA	NA
0009-5893	NA	NA
0009-7322	NA	NA
1941-3149	NA	NA
1941-9651	NA	NA
2574-8300	NA	NA
1941-3289	NA	NA
0009-7330	NA	NA
1863-0650	NA	NA
0305-1870	NA	NA
1078-0432	NA	Unknown
0009-9147	NA	NA
0962-8827	NA	NA
1542-3565	NA	NA
1521-6616	NA	Single_blind
1058-4838	NA	NA
0749-8047	NA	NA
1555-9041	NA	NA
1433-6510	NA	NA
1198-743X	NA	Single_blind
0893-8512	NA	NA
0363-9762	NA	NA
0269-2155	NA	NA
1080-0549	NA	NA
0272-2712	NA	NA
1871-5273	NA	NA
1469-493X	NA	NA
1530-7026	NA	NA
0010-065X	NA	NA
0092-7872	NA	NA
1019-8385	NA	NA
1815-2406	NA	NA
0001-0782	NA	NA
0010-3640	NA	NA
0265-539X	NA	NA
1585-8553	NA	NA
1744-117X	NA	NA
0332-1649	NA	NA
1744-3881	NA	Single_blind
2452-2139	NA	Single_blind
1359-835X	NA	NA
1359-8368	NA	NA
0266-3538	NA	NA
1541-4337	NA	NA
0965-5425	NA	NA
1093-9687	NA	NA
1061-3773	NA	NA
0168-1699	NA	NA
1574-0137	NA	Single_blind
0010-4825	NA	NA
0360-8352	NA	NA
0166-3615	NA	NA
0898-1221	NA	NA
1335-9150	NA	NA
0300-8207	NA	NA
0950-0618	NA	NA
0010-7824	NA	NA
0010-8545	NA	NA
0010-938X	NA	Single_blind
1441-2772	NA	NA
0090-3493	NA	NA
0738-8551	NA	NA
1040-8363	NA	NA
1064-3389	NA	NA
1040-8398	NA	NA
1040-8436	NA	NA
1063-7745	NA	NA
0889-311X	NA	NA
0960-9822	NA	NA
1568-0096	NA	NA
2198-6061	NA	NA
1573-4099	NA	NA
2198-6436	NA	NA
1558-8211	NA	NA
1345-5834	NA	NA
2162-4968	NA	NA
0958-1669	NA	NA
0955-0674	NA	NA
1367-5931	NA	Single_blind
1359-0294	NA	Single_blind
2451-9103	NA	Single_blind
2214-7993	NA	Single_blind
2452-2236	NA	Single_blind
1369-5266	NA	Single_blind
1359-0286	NA	NA
0196-9722	NA	NA
0399-0974	NA	NA
1424-8581	NA	NA
1359-6101	NA	Single_blind
1949-3584	NA	NA
0167-9236	NA	NA
0967-0645	NA	NA
1125-7865	NA	Single_blind
0011-9164	NA	NA
1866-0452	NA	NA
0950-1991	NA	NA
0145-305X	NA	Single_blind
1534-5807	NA	NA
1932-8451	NA	NA
0378-5866	NA	NA
0012-1797	NA	NA
0149-5992	NA	NA
1520-7552	NA	NA
0012-186X	NA	NA
1861-9002	NA	NA
0732-8893	NA	NA
1294-8322	NA	NA
0301-4681	NA	NA
1051-2004	NA	Single_blind
1368-7646	NA	NA
0012-6667	NA	NA
1942-7603	NA	NA
0377-0265	NA	NA
0196-0202	NA	NA
0012-8252	NA	NA
1461-023X	NA	NA
1040-0397	NA	NA
2520-8489	NA	NA
1536-8378	NA	NA
1537-9582	NA	NA
0173-0835	NA	NA
0163-769X	NA	NA
0013-726X	NA	NA
0360-5442	NA	NA
0196-8904	NA	NA
1754-5692	NA	NA
1556-7036	NA	NA
2405-8297	NA	Single_blind
0952-1976	NA	NA
0013-7952	NA	NA
0177-0667	NA	NA
1610-3653	NA	NA
0046-225X	NA	NA
0167-6369	NA	NA
0269-7491	NA	NA
0013-9351	NA	NA
0013-936X	NA	Unknown
2328-8930	NA	NA
1180-4009	NA	NA
0179-1613	NA	NA
2590-1168	NA	NA
0195-668X	NA	Unknown
1439-6319	NA	NA
0959-8049	NA	NA
0031-6970	NA	NA
1362-5187	NA	NA
0393-2990	NA	NA
1388-9842	NA	NA
2047-9956	NA	NA
0953-6205	NA	NA
1619-7070	NA	NA
0377-2217	NA	NA
1120-6721	NA	NA
0143-0807	NA	NA
2047-4873	NA	NA
0932-4739	NA	NA
0903-1936	NA	NA
0302-2838	NA	NA
1520-541X	NA	NA
0922-6435	NA	NA
0957-4174	NA	NA
0723-0869	NA	NA
2451-9766	NA	NA
1431-0651	NA	NA
0168-6445	NA	NA
0146-8030	NA	NA
0920-1742	NA	NA
0015-5497	NA	NA
1944-0049	NA	NA
1939-3210	NA	NA
1936-9751	NA	NA
1557-1858	NA	NA
